annee,zone,ca_ttc,ca_ht,nb_transactions,nb_clients,qte_totale
2019,SFAX 1A,2796690.448,2343047.424,8745,61,361371
2019,KAIROUAN,2488095.944,2083724.595,3131,11,322879
2019,NABEUL,1482502.145,1239529.475,5220,20,193087
2019,TUNIS 3,1051557.918,879392.572,3463,28,128181
2019,MANOUBA,981913.631,821387.348,2321,5,117163
2019,TUNIS 1A,928588.769,775631.919,2764,10,131272
2019,TUNIS 4,794148.766,663778.518,3243,16,102190
2019,GABES,633581.768,531058.955,2017,11,78299
2019,MEDENINE 1,606479.863,507338.065,2011,11,72901
2019,TUNIS 2,510034.237,427307.954,2755,23,69134
2019,SOUSSE 4,485866.479,406395.389,1466,8,63182
2019,BIZERTE,467772.323,390963.942,2227,14,64433
2019,SOUSSE 2B,420238.244,351135.36,2125,18,52828
2019,JENDOUBA,334179.783,279560.372,914,6,43176
2019,MAHDIA,237666.831,198674.093,1139,5,28606
2019,ARIANA 4,230364.613,192728.541,935,6,25525
2019,SOUSSE 1,217138.362,181591.985,1047,12,27667
2019,BEN AROUS,216530.573,181193.263,982,6,27389
2019,BIZERTE 1,192489.15,160759.321,897,5,26422
2019,MONASTIR 1,178027.996,148872.361,1298,8,22656
2019,GAFSA,176270.856,147602.008,781,8,20724
2019,MONASTIR,172000.982,143747.459,804,7,20916
2019,BEN AROUS 3,130305.565,108665.362,931,19,17934
2019,NABEUL 2,119526.277,99767.575,1046,16,15933
2019,BEJA PERI,104255.848,87118.916,570,7,14966
2019,TUNIS 1C,102760.779,85852.696,635,6,13709
2019,BEN AROUS 1,98486.184,82257.366,681,5,12931
2019,BEJA,96844.539,80872.07400000001,735,9,12662
2019,MAHDIA PERI,81222.513,67884.0,423,12,12020
2019,JENDOUBA PERI,67718.502,56717.218,323,10,10257
2019,TUNIS 1D,61172.358,50827.683,524,4,6928
2019,MANOUBA 3,57734.69,48221.497,278,4,8880
2019,MONASTIR 2,53951.133,45087.083,442,12,7155
2019,DJERBA,53039.473,44463.03,367,9,7684
2019,SILIANA PERI,51744.404,43379.789,298,7,7038
2019,GAFSA PERI,47701.792,40008.883,271,9,5795
2019,NABEUL 3,45070.213,37646.393,540,17,6126
2019,NABEUL 1,43735.775,36541.694,298,7,5323
2019,KEF,41489.198,34583.999,288,7,5673
2019,KEF PERI,40945.874,34258.67,305,7,5706
2019,KEBILI,40632.447,34066.362,166,3,4782
2019,TOZEUR,38023.906,31841.851,243,5,4125
2019,BEN AROUS 2,37342.537,31041.051,370,6,4346
2019,MANOUBA 2,33303.848,27856.412,298,10,4603
2019,SIDI BOUZID PERI,32665.586,27414.848,202,6,4068
2019,MANOUBA 1,32404.902,27052.502,316,4,4551
2019,MEDENINE,30919.314,25864.357,178,5,3788
2019,GABES PERI,29463.803,24713.674,252,8,3930
2019,KAIROUAN PERI,23307.782,19548.285,103,5,3532
2019,ARIANA 3,22529.596,18880.99,233,9,2982
2019,BEN AROUS 4,21560.152,18037.923,321,8,2563
2019,SOUSSE 2C,20724.624,17353.426,182,4,3079
2019,SIDI BOUZID,17812.24,14917.14,140,5,2247
2019,KASSERINE PERI,14895.302,12500.089,79,4,2232
2019,ARIANA,14815.015,12448.096,56,4,699
2019,SFAX 1B,14149.352,11871.727,195,12,2746
2019,KASSERINE,13237.059,11081.277,152,5,1780
2019,SILIANA,11566.459,9698.993,78,3,1464
2019,TATAOUINE,10498.166,8790.571,58,3,1043
2019,ARIANA 1,8034.97,6748.477,79,3,1002
2019,KEBILI PERI,8025.134,6672.006,56,3,880
2019,ARIANA 2,7800.409,6498.487,72,4,950
2019,ZAGHOUAN PERI,5172.295,4319.525000000001,53,2,696
2019,SFAX 3,2990.188,2512.416,78,4,827
2019,SOUSSE 2A,2408.108,2018.589,14,1,471
2019,ZAGHOUAN,2385.138,2000.685,13,1,272
2019,SOUSSE 3,1093.1370000000002,915.705,13,1,183
2019,BIZERTE 2,0.0,0.0,11,1,16
2020,SFAX 1A,3563495.813,2986911.368,8317,70,477896
2020,KAIROUAN,3446905.841,2888196.204,3171,17,455390
2020,NABEUL,1911414.651,1601915.9,5828,35,251312
2020,MANOUBA,1486058.984,1247083.718,2551,6,198185
2020,TUNIS 1A,1187829.509,1008412.722,2714,11,255995
2020,TUNIS 3,1161740.753,973450.664,3182,42,151279
2020,GABES,833859.509,698770.459,2482,11,106860
2020,TUNIS 4,791513.435,661860.685,2744,19,93478
2020,BIZERTE,702579.0650000001,588826.104,2481,17,97906
2020,BEN AROUS,640775.62,551145.742,1223,9,217458
2020,TUNIS 2,625999.429,527649.114,2670,35,110804
2020,MEDENINE 1,610829.195,511668.277,2094,16,75331
2020,SOUSSE 4,587481.781,491062.144,1314,7,73670
2020,SOUSSE 2B,537341.206,450958.899,2009,18,73345
2020,JENDOUBA,431506.74,360678.613,1021,11,56083
2020,MAHDIA,368997.076,308293.657,1429,5,48823
2020,MONASTIR,343401.554,286511.702,1064,11,44052
2020,BEN AROUS 3,309135.444,258965.334,1530,34,41092
2020,ARIANA 4,273496.152,229049.067,1109,8,32720
2020,BEJA PERI,228721.571,191926.718,919,14,34236
2020,SOUSSE 1,226379.098,189786.216,784,14,30441
2020,BIZERTE 1,219439.577,183934.228,860,11,28957
2020,MONASTIR 1,206083.646,172267.988,1487,16,25983
2020,GAFSA,191286.021,160670.358,868,14,23014
2020,NABEUL 2,180698.968,151243.468,1358,25,24645
2020,BEJA,173567.901,145636.198,979,10,22685
2020,BEN AROUS 1,123432.458,103769.689,768,10,17721
2020,TUNIS 1C,113743.694,95260.484,694,6,15677
2020,SIDI BOUZID PERI,108990.86,92075.071,627,17,14976
2020,TUNIS 1D,98912.194,82905.145,879,9,11836
2020,MAHDIA PERI,94717.373,80320.689,486,18,14956
2020,DJERBA,91964.106,77021.905,879,27,12379
2020,SILIANA PERI,89845.808,75412.538,481,10,12008
2020,BEN AROUS 2,83105.445,69837.878,656,13,11752
2020,SIDI BOUZID,73679.813,62883.917,530,11,11177
2020,NABEUL 3,71815.285,60160.897,835,30,10237
2020,ARIANA 3,71140.137,59478.001,456,9,9219
2020,KAIROUAN PERI,65135.305,54712.421,359,14,9999
2020,JENDOUBA PERI,65043.389,54582.257,340,12,9220
2020,MANOUBA 3,60301.005,50368.669,165,4,9082
2020,KASSERINE,55861.977,47247.274,399,6,7153
2020,KEBILI PERI,54396.267,45620.21,279,9,6183
2020,TATAOUINE,52071.588,43601.156,399,8,5647
2020,KEF PERI,51039.263,42719.123,388,9,6278
2020,MONASTIR 2,50813.89,43147.093,380,14,7698
2020,BEN AROUS 4,50292.638,42071.573,398,12,6922
2020,SOUSSE 2C,48992.209,41459.205,421,8,7384
2020,GAFSA PERI,45679.841,38249.806,268,15,5281
2020,KEF,44943.46,37520.625,232,6,9135
2020,GABES PERI,44033.363,36944.458,262,10,5866
2020,KASSERINE PERI,43691.741,36790.347,246,6,6018
2020,TOZEUR,43239.993,36257.192,261,9,4899
2020,NABEUL 1,38912.914,32683.067,236,17,5414
2020,KEBILI,31363.879,26299.648,147,5,3895
2020,MEDENINE,30658.133,25860.499,241,5,3460
2020,MANOUBA 1,26057.178,21811.963,329,4,3843
2020,MANOUBA 2,21997.485,18469.644,205,10,3387
2020,ZAGHOUAN PERI,21503.229,18159.608,180,8,3356
2020,ARIANA 2,17692.091,14865.806,240,10,2099
2020,ZAGHOUAN,17570.875,14732.21,111,3,2260
2020,ARIANA,16639.194,14286.982,73,5,5513
2020,ARIANA 1,14953.725,12577.026,177,2,1662
2020,BIZERTE 2,13581.293,11351.615,112,4,1537
2020,SILIANA,13494.541,11306.326,81,5,1606
2020,SFAX 1B,11762.593,9838.354,214,13,1638
2020,SOUSSE 2A,7845.506,6586.997,85,3,1189
2020,SFAX 3,6263.919,5254.18,109,10,1360
2020,MEDENINE 2,5669.917,4750.51,34,1,544
2020,TATOUINE PERI,4105.035,3438.983,36,3,486
2020,TUNIS 1B,2210.268,1854.445,16,2,346
2020,ARIANA 5,944.78,786.072,1,1,168
2020,SOUSSE 3,55.829,46.915,4,2,3
2021,SFAX 1A,4952284.316,4156574.969,6523,54,603395
2021,KAIROUAN,4186811.709,3515762.724,2424,17,544388
2021,NABEUL,2670938.987,2241161.999,6541,33,340217
2021,TUNIS 1A,2305650.244,1935369.687,3144,14,333687
2021,MANOUBA,2069801.338,1738051.698,2330,3,263367
2021,TUNIS 3,1687016.116,1417070.379,2534,38,218473
2021,GABES,1377099.265,1155310.202,2053,9,167727
2021,ARIANA,1238541.156,1039936.245,1137,7,160986
2021,TUNIS 4,1146680.775,962343.922,2848,19,127018
2021,BIZERTE,983909.985,826686.936,2203,14,132797
2021,MEDENINE 1,963136.438,808077.339,1636,11,127940
2021,SOUSSE 4,858916.314,720493.972,1556,12,105414
2021,SOUSSE 2B,738288.934,619292.21,1851,29,96268
2021,BEN AROUS,736468.87,619230.729,1481,10,165743
2021,JENDOUBA,639024.178,536468.95,1056,7,79795
2021,MAHDIA,472336.136,395981.421,1398,7,59405
2021,MONASTIR,470676.142,394987.045,885,9,60123
2021,TUNIS 2,468771.914,393319.6,2274,36,53645
2021,BIZERTE 1,393859.582,330714.941,714,9,48092
2021,BEJA,342128.77,286931.584,1172,12,47197
2021,BEN AROUS 3,325586.337,273295.381,1483,35,41113
2021,GAFSA,317591.566,266541.792,1131,16,34977
2021,BEJA PERI,291320.968,244444.857,634,11,38302
2021,SOUSSE 1,285714.303,239659.424,933,23,35124
2021,ARIANA 4,280393.64,235325.478,680,5,31970
2021,NABEUL 2,209944.996,176033.493,1428,25,25569
2021,BEN AROUS 1,193649.463,162511.927,1233,15,22568
2021,MONASTIR 1,184584.23,154756.505,1053,14,23314
2021,SIDI BOUZID PERI,167443.885,140332.557,674,22,19140
2021,KEF,149137.477,125204.176,600,9,19735
2021,TUNIS 1C,136246.483,114395.923,875,7,19129
2021,DJERBA,132200.414,110804.357,782,22,16014
2021,KEF PERI,121768.741,102138.736,526,12,14459
2021,SILIANA PERI,120681.192,101096.142,543,12,16505
2021,ARIANA 3,119303.792,100050.678,831,11,15125
2021,TOZEUR,116703.696,97941.932,374,13,11928
2021,MAHDIA PERI,104773.202,87876.829,598,20,14604
2021,GAFSA PERI,93986.4,78899.426,243,11,10912
2021,KASSERINE PERI,87813.255,73601.224,417,11,9458
2021,KEBILI,82584.793,69318.855,352,5,9934
2021,SIDI BOUZID,69385.218,58080.977,317,11,8699
2021,BEN AROUS 2,67736.408,56806.082,502,19,9793
2021,ARIANA 2,65777.687,54843.752,176,7,13136
2021,KASSERINE,65060.127,54507.13,303,7,6181
2021,GABES PERI,61002.302,51210.718,325,8,6430
2021,MEDENINE,59520.896,50024.18,348,8,7901
2021,NABEUL 3,59183.96,49658.233,654,22,7696
2021,MANOUBA 3,56716.743,47712.283,286,4,7546
2021,SOUSSE 2C,55005.262,46116.397,423,8,6549
2021,MANOUBA 1,54440.288,45686.935,536,7,7783
2021,KEBILI PERI,52436.884,43952.045,206,7,6467
2021,TATAOUINE,46107.601,38645.684,303,6,5998
2021,TUNIS 1D,44913.056,37679.188,370,11,4424
2021,ZAGHOUAN,44526.925,37347.938,320,6,5171
2021,JENDOUBA PERI,42744.473,35791.359,219,10,5906
2021,MANOUBA 2,40423.652,33900.088,241,10,5052
2021,ARIANA 1,39501.871,33191.05,275,4,4749
2021,ZAGHOUAN PERI,33620.459,28179.481,311,9,4163
2021,BEN AROUS 4,29648.736,24962.459,132,12,3642
2021,MONASTIR 2,29477.093,24704.519,252,14,3997
2021,NABEUL 1,28398.782,23790.238,254,20,4123
2021,TATOUINE PERI,23509.197,19714.276,91,3,2786
2021,MEDENINE 2,19559.338,16410.741,156,3,2293
2021,KAIROUAN PERI,13761.897,11538.517,103,12,1990
2021,SILIANA,11113.473,9323.947,62,2,1357
2021,SOUSSE 2A,10701.363,8966.726,71,4,1408
2021,SFAX 1B,9038.407,7573.062,147,10,1355
2021,SOUSSE 3,9017.285,7566.096,80,7,1256
2021,BIZERTE 2,6683.882,5608.773999999999,24,3,597
2021,AUTRES,6217.521,5222.1990000000005,17,1,455
2021,SFAX 3,3403.9500000000003,2851.927,129,10,1022
2021,ARIANA 5,1386.55,1164.511,11,2,180
2021,TUNIS 1B,1081.416,900.935,23,6,130
2021,PORTE A PORTE,697.405,586.055,1,1,5
2021,SFAX 2,115.194,96.804,4,1,18
2021,SFAX,0.0,0.0,2,1,2
2022,SFAX 1A,5294188.756,4444155.269,5998,60,580491
2022,NABEUL,3054341.177,2562893.212,6006,29,346702
2022,KAIROUAN,2306714.576,1935395.54,1998,21,264595
2022,MANOUBA,2137936.247,1794050.533,2765,3,244736
2022,TUNIS 3,1641320.642,1378411.743,3604,31,189999
2022,GABES,1478369.237,1240322.857,1620,6,161751
2022,TUNIS 4,1408361.497,1181550.431,3791,16,150025
2022,ARIANA,1363965.504,1141220.299,605,7,152184
2022,TUNIS 1A,1263352.154,1061650.847,2348,11,169241
2022,BIZERTE,1025929.234,861080.005,2953,21,121673
2022,MEDENINE 1,941364.006,789883.684,1509,10,104818
2022,SOUSSE 2B,861690.381,722528.829,2437,28,99547
2022,SOUSSE 4,779424.225,653772.829,1904,11,88337
2022,JENDOUBA,682498.025,572304.663,1392,8,81889
2022,TUNIS 2,623035.94,523349.562,3064,34,84816
2022,MONASTIR,616395.758,516432.391,1431,9,68417
2022,BEN AROUS 3,484168.05,406184.407,2215,33,57849
2022,MAHDIA,396128.83,331999.045,1477,8,43915
2022,ARIANA 4,348532.175,292347.126,1383,10,35842
2022,BIZERTE 1,340416.248,285725.458,1375,18,40623
2022,KEF,319068.273,267745.59,824,9,41052
2022,MONASTIR 1,316453.92,265108.351,2109,25,35369
2022,BEJA PERI,311330.527,261183.814,849,9,39147
2022,BEN AROUS,297235.077,249770.142,1443,11,74616
2022,BEJA,261987.86,219941.042,1286,10,32614
2022,SOUSSE 1,255138.87,214071.423,1160,18,27893
2022,NABEUL 2,248679.176,208464.515,1889,23,27607
2022,GAFSA,233323.53,195645.176,1088,13,24806
2022,BEN AROUS 1,195130.024,163719.079,1079,13,22788
2022,DJERBA,178697.949,150555.397,924,17,19947
2022,ARIANA 3,175444.923,146852.94,898,12,19432
2022,MAHDIA PERI,164107.564,137678.213,861,20,19699
2022,SIDI BOUZID PERI,146920.537,123152.608,512,21,18202
2022,SILIANA PERI,138963.649,116593.155,791,11,17159
2022,KEF PERI,127203.388,106663.531,592,14,14673
2022,TUNIS 1C,124570.142,104520.974,939,9,13464
2022,MONASTIR 2,110223.308,92805.876,420,16,15103
2022,JENDOUBA PERI,100950.672,84089.368,624,13,13101
2022,KAIROUAN PERI,93089.563,77986.583,508,13,12258
2022,ZAGHOUAN PERI,91604.333,76811.425,688,10,11249
2022,BEN AROUS 2,84396.12,70790.318,660,18,10008
2022,TOZEUR,79697.541,66854.641,202,8,8000
2022,TUNIS 1D,75453.769,63305.052,496,10,7813
2022,KASSERINE PERI,66475.113,55807.656,391,9,7623
2022,PORTE A PORTE,64157.546,52710.861,174,1,6870
2022,MEDENINE,61217.795,51387.542,373,10,6661
2022,SOUSSE 2A,60134.399,50490.376,203,5,5554
2022,GAFSA PERI,59945.698,50351.783,268,13,6624
2022,SOUSSE 2C,58608.324,49198.806,463,5,7373
2022,TATAOUINE,58489.254,49050.217,255,3,5795
2022,NABEUL 3,57937.821,48590.723,632,14,6220
2022,MANOUBA 1,57572.11,48285.319,717,7,8464
2022,GABES PERI,56430.72,47377.283,309,10,6389
2022,NABEUL 1,55194.561,46276.425,411,9,6434
2022,SIDI BOUZID,45884.127,38467.006,294,10,5432
2022,ZAGHOUAN,43002.835,36048.312,295,5,5033
2022,KEBILI PERI,38632.7,32394.383,152,5,4669
2022,MANOUBA 2,37301.603,31312.252,262,10,4669
2022,SOUSSE 3,36585.191,30712.185,128,6,4684
2022,ARIANA 2,35887.618,30170.513,448,9,4172
