conversation_id,product,objection_type,objection_difficulty,objection_text,rep_response,response_quality,overall_score,context_weighted_score,has_empathy,has_data_args,has_solution,argumentation_richness,skill_level,outcome,is_success,client_sentiment
CONV00257,PHYTOFANE Lotion anti chute,Posologie complexe,Difficile,La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.,"Au contraire, nous avons simplifié au maximum : 1 gélule matin et soir pendant les repas. C'est tout ! Nous fournissons un petit dépliant illustré très clair. De plus, chaque boîte contient un pilulier hebdomadaire gratuit pour faciliter l'observance. Voulez-vous que je vous montre ?",Excellent,9.2,9.21,0,0,0,1,Expert,Intérêt Fort,1,Neutre
CONV00377,LV Vitamine A,Posologie complexe,Difficile,La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.,"Au contraire, nous avons simplifié au maximum : 1 gélule matin et soir pendant les repas. C'est tout ! Nous fournissons un petit dépliant illustré très clair. De plus, chaque boîte contient un pilulier hebdomadaire gratuit pour faciliter l'observance. Voulez-vous que je vous montre ?",Excellent,9.2,9.18,0,0,0,1,Expert,Rendez-vous futur,1,Neutre
CONV00362,LV Vitamine A,Posologie complexe,Difficile,La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.,"Au contraire, nous avons simplifié au maximum : 1 gélule matin et soir pendant les repas. C'est tout ! Nous fournissons un petit dépliant illustré très clair. De plus, chaque boîte contient un pilulier hebdomadaire gratuit pour faciliter l'observance. Voulez-vous que je vous montre ?",Excellent,9.1,9.12,0,0,0,1,Expert,Commande,1,Positif
CONV00199,Vitonic Tonus,Posologie complexe,Difficile,La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.,"Au contraire, nous avons simplifié au maximum : 1 gélule matin et soir pendant les repas. C'est tout ! Nous fournissons un petit dépliant illustré très clair. De plus, chaque boîte contient un pilulier hebdomadaire gratuit pour faciliter l'observance. Voulez-vous que je vous montre ?",Excellent,9.0,9.04,0,0,0,1,Expert,Rendez-vous futur,1,Positif
CONV00246,LV CYSPROTECT,Posologie complexe,Difficile,La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.,"Au contraire, nous avons simplifié au maximum : 1 gélule matin et soir pendant les repas. C'est tout ! Nous fournissons un petit dépliant illustré très clair. De plus, chaque boîte contient un pilulier hebdomadaire gratuit pour faciliter l'observance. Voulez-vous que je vous montre ?",Excellent,9.0,8.93,0,0,0,1,Expert,Commande,1,Positif
CONV00056,OLIGOVIT Trio,Posologie complexe,Difficile,La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.,"Au contraire, nous avons simplifié au maximum : 1 gélule matin et soir pendant les repas. C'est tout ! Nous fournissons un petit dépliant illustré très clair. De plus, chaque boîte contient un pilulier hebdomadaire gratuit pour faciliter l'observance. Voulez-vous que je vous montre ?",Excellent,8.9,8.91,0,0,0,1,Expert,Intérêt Fort,1,Positif
CONV00072,Omevie Omega 3 – 1000,Posologie complexe,Difficile,La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.,"Au contraire, nous avons simplifié au maximum : 1 gélule matin et soir pendant les repas. C'est tout ! Nous fournissons un petit dépliant illustré très clair. De plus, chaque boîte contient un pilulier hebdomadaire gratuit pour faciliter l'observance. Voulez-vous que je vous montre ?",Excellent,8.5,8.57,0,0,0,1,Expert,Intérêt Fort,1,Neutre
CONV00250,Vitonic Tonus,Posologie complexe,Difficile,La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.,"Au contraire, nous avons simplifié au maximum : 1 gélule matin et soir pendant les repas. C'est tout ! Nous fournissons un petit dépliant illustré très clair. De plus, chaque boîte contient un pilulier hebdomadaire gratuit pour faciliter l'observance. Voulez-vous que je vous montre ?",Excellent,8.5,8.5,0,0,0,1,Expert,Rendez-vous futur,1,Neutre
CONV00004,LV Fersang junior,Posologie complexe,Difficile,La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.,"Au contraire, nous avons simplifié au maximum : 1 gélule matin et soir pendant les repas. C'est tout ! Nous fournissons un petit dépliant illustré très clair. De plus, chaque boîte contient un pilulier hebdomadaire gratuit pour faciliter l'observance. Voulez-vous que je vous montre ?",Excellent,8.4,8.38,0,0,0,1,Expert,Intérêt Fort,1,Neutre
CONV00220,Vitonic Tonus,Prix élevé,Standard,Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Je comprends votre préoccupation. Cependant, Vitonic Tonus contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.",Excellent,9.7,9.74,1,1,0,2,Expert,Intérêt Fort,1,Neutre
CONV00119,PHYTOFANE Lotion anti chute,Prix élevé,Standard,Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Je comprends votre préoccupation. Cependant, PHYTOFANE Lotion anti chute contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.",Excellent,9.6,9.6,1,1,0,2,Expert,Intérêt Fort,1,Positif
CONV00162,LV Fersang junior,Prix élevé,Standard,Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Je comprends votre préoccupation. Cependant, LV Fersang junior contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.",Excellent,9.4,9.48,1,1,0,2,Expert,Rendez-vous futur,1,Positif
CONV00031,OLIGOVIT Trio,Prix élevé,Standard,Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Je comprends votre préoccupation. Cependant, OLIGOVIT Trio contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.",Excellent,9.3,9.41,1,1,0,2,Expert,Commande,1,Positif
CONV00280,"Echinacée, Zinc, Vit.C",Prix élevé,Standard,Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Je comprends votre préoccupation. Cependant, Echinacée, Zinc, Vit.C contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.",Excellent,9.2,9.26,1,1,0,2,Expert,Rendez-vous futur,1,Positif
CONV00036,LV Fersang junior,Prix élevé,Standard,Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Je comprends votre préoccupation. Cependant, LV Fersang junior contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.",Excellent,9.2,9.23,1,1,0,2,Expert,Intérêt Fort,1,Neutre
CONV00385,"Echinacée, Zinc, Vit.C",Prix élevé,Standard,Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Je comprends votre préoccupation. Cependant, Echinacée, Zinc, Vit.C contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.",Excellent,9.1,9.16,1,1,0,2,Expert,Rendez-vous futur,1,Neutre
CONV00283,PHYTOFANE Lotion anti chute,Prix élevé,Standard,Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Je comprends votre préoccupation. Cependant, PHYTOFANE Lotion anti chute contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.",Excellent,9.0,9.1,1,1,0,2,Expert,Intérêt Fort,1,Neutre
CONV00337,Vitonic Tonus,Prix élevé,Standard,Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Je comprends votre préoccupation. Cependant, Vitonic Tonus contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.",Excellent,9.1,9.09,1,1,0,2,Expert,Commande,1,Neutre
CONV00207,Omevie Omega 3 – 1000,Prix élevé,Standard,Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Je comprends votre préoccupation. Cependant, Omevie Omega 3 – 1000 contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.",Excellent,9.0,9.04,1,1,0,2,Expert,Rendez-vous futur,1,Neutre
CONV00035,PHYTOFANE Lotion anti chute,Prix élevé,Standard,Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Je comprends votre préoccupation. Cependant, PHYTOFANE Lotion anti chute contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.",Excellent,9.1,9.04,1,1,0,2,Expert,Rendez-vous futur,1,Positif
CONV00330,LV Fersang junior,Prix élevé,Standard,Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Je comprends votre préoccupation. Cependant, LV Fersang junior contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.",Excellent,9.1,9.04,1,1,0,2,Expert,Commande,1,Neutre
CONV00050,"Echinacée, Zinc, Vit.C",Prix élevé,Standard,Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Je comprends votre préoccupation. Cependant, Echinacée, Zinc, Vit.C contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.",Excellent,9.0,8.91,1,1,0,2,Expert,Intérêt Fort,1,Positif
CONV00240,PHYTOFANE Lotion anti chute,Prix élevé,Standard,Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Je comprends votre préoccupation. Cependant, PHYTOFANE Lotion anti chute contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.",Excellent,8.8,8.91,1,1,0,2,Expert,Commande,1,Neutre
CONV00196,"Echinacée, Zinc, Vit.C",Prix élevé,Standard,Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Je comprends votre préoccupation. Cependant, Echinacée, Zinc, Vit.C contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.",Excellent,8.8,8.9,1,1,0,2,Expert,Rendez-vous futur,1,Neutre
CONV00235,"Echinacée, Zinc, Vit.C",Prix élevé,Standard,Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Je comprends votre préoccupation. Cependant, Echinacée, Zinc, Vit.C contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.",Excellent,8.8,8.88,1,1,0,2,Expert,Rendez-vous futur,1,Neutre
CONV00225,Omevie Omega 3 – 1000,Prix élevé,Standard,Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Je comprends votre préoccupation. Cependant, Omevie Omega 3 – 1000 contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.",Excellent,8.8,8.86,1,1,0,2,Expert,Intérêt Fort,1,Neutre
CONV00088,Omevie Omega 3 – 1000,Prix élevé,Standard,Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Je comprends votre préoccupation. Cependant, Omevie Omega 3 – 1000 contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.",Excellent,8.9,8.8,1,1,0,2,Expert,Commande,1,Neutre
CONV00201,PHYTOFANE Lotion anti chute,Prix élevé,Standard,Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Je comprends votre préoccupation. Cependant, PHYTOFANE Lotion anti chute contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.",Excellent,8.9,8.76,1,1,0,2,Expert,Rendez-vous futur,1,Neutre
CONV00103,OLIGOVIT Trio,Prix élevé,Standard,Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Je comprends votre préoccupation. Cependant, OLIGOVIT Trio contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.",Excellent,8.8,8.68,1,1,0,2,Expert,Commande,1,Positif
CONV00144,PHYTOFANE Lotion anti chute,Prix élevé,Standard,Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Je comprends votre préoccupation. Cependant, PHYTOFANE Lotion anti chute contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.",Excellent,8.7,8.68,1,1,0,2,Expert,Rendez-vous futur,1,Neutre
CONV00284,"Echinacée, Zinc, Vit.C",Prix élevé,Standard,Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Je comprends votre préoccupation. Cependant, Echinacée, Zinc, Vit.C contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.",Excellent,8.7,8.62,1,1,0,2,Expert,Commande,1,Neutre
CONV00157,LV Fersang junior,Stock suffisant,Difficile,J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.,"Parfait, ça montre que vous avez bien géré votre stock. Puis-je noter votre intérêt pour une livraison dans 2-3 semaines ? En attendant, je peux vous laisser notre nouveau catalogue et des brochures pour vos clients. Avez-vous remarqué une augmentation de la demande récemment ?",Excellent,9.7,9.67,0,0,0,1,Expert,Intérêt Fort,1,Positif
CONV00264,PHYTOFANE Lotion anti chute,Stock suffisant,Difficile,J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.,"Parfait, ça montre que vous avez bien géré votre stock. Puis-je noter votre intérêt pour une livraison dans 2-3 semaines ? En attendant, je peux vous laisser notre nouveau catalogue et des brochures pour vos clients. Avez-vous remarqué une augmentation de la demande récemment ?",Excellent,9.6,9.47,0,0,0,1,Expert,Commande,1,Neutre
CONV00170,PHYTOFANE Lotion anti chute,Stock suffisant,Difficile,J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.,"Parfait, ça montre que vous avez bien géré votre stock. Puis-je noter votre intérêt pour une livraison dans 2-3 semaines ? En attendant, je peux vous laisser notre nouveau catalogue et des brochures pour vos clients. Avez-vous remarqué une augmentation de la demande récemment ?",Excellent,9.4,9.4,0,0,0,1,Expert,Intérêt Fort,1,Neutre
CONV00387,Vitonic Tonus,Stock suffisant,Difficile,J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.,"Parfait, ça montre que vous avez bien géré votre stock. Puis-je noter votre intérêt pour une livraison dans 2-3 semaines ? En attendant, je peux vous laisser notre nouveau catalogue et des brochures pour vos clients. Avez-vous remarqué une augmentation de la demande récemment ?",Excellent,9.3,9.37,0,0,0,1,Expert,Commande,1,Positif
CONV00010,Vitonic Tonus,Stock suffisant,Difficile,J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.,"Parfait, ça montre que vous avez bien géré votre stock. Puis-je noter votre intérêt pour une livraison dans 2-3 semaines ? En attendant, je peux vous laisser notre nouveau catalogue et des brochures pour vos clients. Avez-vous remarqué une augmentation de la demande récemment ?",Excellent,9.0,9.16,0,0,0,1,Expert,Intérêt Fort,1,Neutre
CONV00275,LV Vitamine A,Stock suffisant,Difficile,J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.,"Parfait, ça montre que vous avez bien géré votre stock. Puis-je noter votre intérêt pour une livraison dans 2-3 semaines ? En attendant, je peux vous laisser notre nouveau catalogue et des brochures pour vos clients. Avez-vous remarqué une augmentation de la demande récemment ?",Excellent,9.2,9.13,0,0,0,1,Expert,Commande,1,Positif
CONV00231,OLIGOVIT Trio,Stock suffisant,Difficile,J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.,"Parfait, ça montre que vous avez bien géré votre stock. Puis-je noter votre intérêt pour une livraison dans 2-3 semaines ? En attendant, je peux vous laisser notre nouveau catalogue et des brochures pour vos clients. Avez-vous remarqué une augmentation de la demande récemment ?",Excellent,9.1,9.13,0,0,0,1,Expert,Rendez-vous futur,1,Neutre
CONV00366,PHYTOFANE Lotion anti chute,Stock suffisant,Difficile,J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.,"Parfait, ça montre que vous avez bien géré votre stock. Puis-je noter votre intérêt pour une livraison dans 2-3 semaines ? En attendant, je peux vous laisser notre nouveau catalogue et des brochures pour vos clients. Avez-vous remarqué une augmentation de la demande récemment ?",Excellent,9.2,9.02,0,0,0,1,Expert,Commande,1,Positif
CONV00017,LV Vitamine A,Stock suffisant,Difficile,J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.,"Parfait, ça montre que vous avez bien géré votre stock. Puis-je noter votre intérêt pour une livraison dans 2-3 semaines ? En attendant, je peux vous laisser notre nouveau catalogue et des brochures pour vos clients. Avez-vous remarqué une augmentation de la demande récemment ?",Excellent,9.2,9.0,0,0,0,1,Expert,Commande,1,Positif
CONV00200,PHYTOFANE Lotion anti chute,Stock suffisant,Difficile,J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.,"Parfait, ça montre que vous avez bien géré votre stock. Puis-je noter votre intérêt pour une livraison dans 2-3 semaines ? En attendant, je peux vous laisser notre nouveau catalogue et des brochures pour vos clients. Avez-vous remarqué une augmentation de la demande récemment ?",Excellent,9.1,8.94,0,0,0,1,Expert,Rendez-vous futur,1,Positif
CONV00273,LV Vitamine A,Stock suffisant,Difficile,J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.,"Parfait, ça montre que vous avez bien géré votre stock. Puis-je noter votre intérêt pour une livraison dans 2-3 semaines ? En attendant, je peux vous laisser notre nouveau catalogue et des brochures pour vos clients. Avez-vous remarqué une augmentation de la demande récemment ?",Excellent,9.0,8.9,0,0,0,1,Expert,Commande,1,Positif
CONV00209,"Echinacée, Zinc, Vit.C",Stock suffisant,Difficile,J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.,"Parfait, ça montre que vous avez bien géré votre stock. Puis-je noter votre intérêt pour une livraison dans 2-3 semaines ? En attendant, je peux vous laisser notre nouveau catalogue et des brochures pour vos clients. Avez-vous remarqué une augmentation de la demande récemment ?",Excellent,8.9,8.89,0,0,0,1,Expert,Intérêt Fort,1,Positif
CONV00306,LV Fersang junior,Stock suffisant,Difficile,J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.,"Parfait, ça montre que vous avez bien géré votre stock. Puis-je noter votre intérêt pour une livraison dans 2-3 semaines ? En attendant, je peux vous laisser notre nouveau catalogue et des brochures pour vos clients. Avez-vous remarqué une augmentation de la demande récemment ?",Excellent,8.8,8.83,0,0,0,1,Expert,Intérêt Fort,1,Positif
CONV00020,PHYTOFANE Lotion anti chute,Stock suffisant,Difficile,J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.,"Parfait, ça montre que vous avez bien géré votre stock. Puis-je noter votre intérêt pour une livraison dans 2-3 semaines ? En attendant, je peux vous laisser notre nouveau catalogue et des brochures pour vos clients. Avez-vous remarqué une augmentation de la demande récemment ?",Excellent,8.9,8.82,0,0,0,1,Expert,Rendez-vous futur,1,Neutre
CONV00319,LV Vitamine A,Stock suffisant,Difficile,J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.,"Parfait, ça montre que vous avez bien géré votre stock. Puis-je noter votre intérêt pour une livraison dans 2-3 semaines ? En attendant, je peux vous laisser notre nouveau catalogue et des brochures pour vos clients. Avez-vous remarqué une augmentation de la demande récemment ?",Excellent,8.8,8.8,0,0,0,1,Expert,Commande,1,Neutre
CONV00184,LV Vitamine A,Stock suffisant,Difficile,J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.,"Parfait, ça montre que vous avez bien géré votre stock. Puis-je noter votre intérêt pour une livraison dans 2-3 semaines ? En attendant, je peux vous laisser notre nouveau catalogue et des brochures pour vos clients. Avez-vous remarqué une augmentation de la demande récemment ?",Excellent,8.6,8.66,0,0,0,1,Expert,Rendez-vous futur,1,Neutre
CONV00046,Omevie Omega 3 – 1000,Stock suffisant,Difficile,J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.,"Parfait, ça montre que vous avez bien géré votre stock. Puis-je noter votre intérêt pour une livraison dans 2-3 semaines ? En attendant, je peux vous laisser notre nouveau catalogue et des brochures pour vos clients. Avez-vous remarqué une augmentation de la demande récemment ?",Excellent,8.7,8.62,0,0,0,1,Expert,Commande,1,Positif
CONV00227,Vitonic Tonus,Stock suffisant,Difficile,J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.,"Parfait, ça montre que vous avez bien géré votre stock. Puis-je noter votre intérêt pour une livraison dans 2-3 semaines ? En attendant, je peux vous laisser notre nouveau catalogue et des brochures pour vos clients. Avez-vous remarqué une augmentation de la demande récemment ?",Excellent,8.4,8.35,0,0,0,1,Expert,Intérêt Fort,1,Positif
