conversation_id,rep_id,client_id,date,month,month_name,product,objection_type,objection_difficulty,response_quality,quality_label,overall_score,context_weighted_score,objection_handling_score,client_sentiment,sentiment_label,outcome,is_success,is_success_broad,skill_level,argumentation_richness,duration_minutes,duration_category,year
CONV00100,REP022,CLI0191,2025-08-20,8,August,OLIGOVIT Trio,Marque inconnue,Difficile,Bon,1,6.5,6.38,5.8,Négatif,-1,Intérêt Modéré,0,1,Confirmé,0,6.6,Standard (6-10 min),2025
CONV00364,REP017,CLI0201,2025-08-20,8,August,PHYTOFANE Lotion anti chute,Posologie complexe,Difficile,Bon,1,6.2,6.18,5.8,Positif,1,Demande info,0,1,Confirmé,0,4.45,Courte (3-6 min),2025
CONV00075,REP011,CLI0106,2025-08-21,8,August,Vitonic Tonus,Efficacité douteuse,Standard,Excellent,2,9.5,9.45,9.1,Neutre,0,Intérêt Fort,1,1,Expert,2,6.22,Standard (6-10 min),2025
CONV00136,REP006,CLI0047,2025-08-21,8,August,Vitonic Tonus,Posologie complexe,Difficile,Bon,1,6.8,6.46,5.1,Neutre,0,À rappeler,0,0,Confirmé,0,8.57,Standard (6-10 min),2025
CONV00069,REP014,CLI0116,2025-08-22,8,August,LV Vitamine A,Concurrence,Standard,Bon,1,6.1,6.02,5.6,Neutre,0,À rappeler,0,0,Confirmé,0,7.07,Standard (6-10 min),2025
CONV00349,REP017,CLI0134,2025-08-22,8,August,OLIGOVIT Trio,Stock suffisant,Difficile,Bon,1,6.8,6.68,6.0,Positif,1,Demande info,0,1,Confirmé,0,7.97,Standard (6-10 min),2025
CONV00092,REP019,CLI0222,2025-08-23,8,August,LV Vitamine A,Demande Faible,Standard,Bon,1,6.4,6.38,6.0,Neutre,0,À rappeler,0,0,Confirmé,0,8.63,Standard (6-10 min),2025
CONV00285,REP013,CLI0096,2025-08-23,8,August,PHYTOFANE Lotion anti chute,Concurrence,Standard,Faible,0,4.3,4.42,4.8,Neutre,0,Pas intéressé,0,0,À améliorer,0,7.37,Standard (6-10 min),2025
CONV00193,REP025,CLI0064,2025-08-24,8,August,PHYTOFANE Lotion anti chute,Marque inconnue,Difficile,Bon,1,6.9,6.78,6.1,Neutre,0,À rappeler,0,0,Confirmé,0,8.43,Standard (6-10 min),2025
CONV00322,REP017,CLI0006,2025-08-24,8,August,"Echinacée, Zinc, Vit.C",Demande Faible,Standard,Bon,1,6.4,6.44,6.6,Négatif,-1,Intérêt Modéré,0,1,Confirmé,0,2.07,Très courte (<3 min),2025
CONV00236,REP013,CLI0119,2025-08-25,8,August,OLIGOVIT Trio,Marque inconnue,Difficile,Bon,1,6.8,6.68,6.0,Négatif,-1,À rappeler,0,0,Confirmé,0,7.02,Standard (6-10 min),2025
CONV00053,REP005,CLI0122,2025-08-27,8,August,PHYTOFANE Lotion anti chute,Concurrence,Standard,Bon,1,6.8,6.75,6.5,Neutre,0,Intérêt Modéré,0,1,Confirmé,0,2.97,Très courte (<3 min),2025
CONV00112,REP014,CLI0091,2025-08-28,8,August,LV Fersang junior,Effets Secondaires,Standard,Bon,1,6.5,6.3,5.6,Positif,1,À rappeler,0,0,Confirmé,0,8.4,Standard (6-10 min),2025
CONV00050,REP019,CLI0145,2025-08-29,8,August,"Echinacée, Zinc, Vit.C",Prix élevé,Standard,Excellent,2,9.0,8.91,8.4,Positif,1,Intérêt Fort,1,1,Expert,2,2.22,Très courte (<3 min),2025
CONV00070,REP021,CLI0151,2025-08-29,8,August,Omevie Omega 3 – 1000,Stock suffisant,Difficile,Faible,0,4.3,4.21,3.9,Neutre,0,Objections non résolues,0,0,À améliorer,0,8.85,Standard (6-10 min),2025
CONV00325,REP009,CLI0067,2025-08-31,8,August,OLIGOVIT Trio,Demande Faible,Standard,Faible,0,4.1,3.95,3.6,Neutre,0,Pas intéressé,0,0,À améliorer,0,8.07,Standard (6-10 min),2025
CONV00109,REP023,CLI0030,2025-08-31,8,August,LV Fersang junior,Posologie complexe,Difficile,Faible,0,4.5,4.34,3.3,Positif,1,Pas intéressé,0,0,À améliorer,0,7.55,Standard (6-10 min),2025
CONV00381,REP005,CLI0172,2025-08-31,8,August,OLIGOVIT Trio,Effets Secondaires,Standard,Excellent,2,9.2,9.11,8.6,Positif,1,Intérêt Fort,1,1,Expert,1,4.0,Courte (3-6 min),2025
CONV00257,REP023,CLI0034,2025-09-01,9,September,PHYTOFANE Lotion anti chute,Posologie complexe,Difficile,Excellent,2,9.2,9.21,9.3,Neutre,0,Intérêt Fort,1,1,Expert,1,4.57,Courte (3-6 min),2025
CONV00052,REP012,CLI0058,2025-09-01,9,September,LV Vitamine A,Prix élevé,Standard,Bon,1,7.2,7.18,6.9,Neutre,0,Intérêt Modéré,0,1,Confirmé,0,2.58,Très courte (<3 min),2025
CONV00372,REP010,CLI0230,2025-09-01,9,September,LV Vitamine A,Marque inconnue,Difficile,Bon,1,6.4,6.52,6.9,Neutre,0,Demande info,0,1,Confirmé,0,3.63,Courte (3-6 min),2025
CONV00337,REP004,CLI0094,2025-09-01,9,September,Vitonic Tonus,Prix élevé,Standard,Excellent,2,9.1,9.09,9.1,Neutre,0,Commande,1,1,Expert,2,8.75,Standard (6-10 min),2025
CONV00389,REP002,CLI0011,2025-09-01,9,September,LV CYSPROTECT,Marque inconnue,Difficile,Excellent,2,9.2,9.09,8.5,Négatif,-1,Rendez-vous futur,1,1,Expert,2,4.75,Courte (3-6 min),2025
CONV00379,REP007,CLI0106,2025-09-02,9,September,OLIGOVIT Trio,Stock suffisant,Difficile,Bon,1,6.5,6.51,6.7,Neutre,0,Intérêt Modéré,0,1,Confirmé,0,9.25,Standard (6-10 min),2025
CONV00056,REP003,CLI0130,2025-09-02,9,September,OLIGOVIT Trio,Posologie complexe,Difficile,Excellent,2,8.9,8.91,8.9,Positif,1,Intérêt Fort,1,1,Expert,1,4.9,Courte (3-6 min),2025
CONV00128,REP010,CLI0020,2025-09-02,9,September,OLIGOVIT Trio,Prix élevé,Standard,Faible,0,3.8,3.7,3.2,Neutre,0,Refus,0,0,À améliorer,0,9.37,Standard (6-10 min),2025
CONV00149,REP002,CLI0193,2025-09-02,9,September,Omevie Omega 3 – 1000,Marque inconnue,Difficile,Excellent,2,9.0,9.04,9.3,Neutre,0,Intérêt Fort,1,1,Expert,2,3.62,Courte (3-6 min),2025
CONV00154,REP003,CLI0061,2025-09-02,9,September,Vitonic Tonus,Prix élevé,Standard,Bon,1,6.4,6.19,5.3,Positif,1,À rappeler,0,0,Confirmé,0,5.12,Courte (3-6 min),2025
CONV00204,REP002,CLI0089,2025-09-03,9,September,LV CYSPROTECT,Posologie complexe,Difficile,Bon,1,6.7,6.58,5.8,Positif,1,À rappeler,0,0,Confirmé,0,7.72,Standard (6-10 min),2025
CONV00189,REP006,CLI0157,2025-09-04,9,September,PHYTOFANE Lotion anti chute,Demande Faible,Standard,Bon,1,6.5,6.34,5.8,Neutre,0,Intérêt Modéré,0,1,Confirmé,0,9.65,Standard (6-10 min),2025
CONV00087,REP004,CLI0195,2025-09-05,9,September,"Echinacée, Zinc, Vit.C",Efficacité douteuse,Standard,Faible,0,4.7,4.72,4.7,Positif,1,Pas intéressé,0,0,À améliorer,0,8.0,Standard (6-10 min),2025
CONV00268,REP013,CLI0151,2025-09-05,9,September,OLIGOVIT Trio,Concurrence,Standard,Faible,0,4.1,4.06,4.1,Neutre,0,Refus,0,0,À améliorer,0,8.5,Standard (6-10 min),2025
CONV00017,REP003,CLI0182,2025-09-06,9,September,LV Vitamine A,Stock suffisant,Difficile,Excellent,2,9.2,9.0,8.1,Positif,1,Commande,1,1,Expert,1,2.5,Très courte (<3 min),2025
CONV00375,REP013,CLI0116,2025-09-06,9,September,"Echinacée, Zinc, Vit.C",Demande Faible,Standard,Bon,1,6.5,6.44,6.1,Neutre,0,Demande info,0,1,Confirmé,0,5.45,Courte (3-6 min),2025
CONV00258,REP002,CLI0102,2025-09-07,9,September,Vitonic Tonus,Effets Secondaires,Standard,Bon,1,6.5,6.28,5.2,Neutre,0,Intérêt Modéré,0,1,Confirmé,0,4.6,Courte (3-6 min),2025
CONV00256,REP002,CLI0026,2025-09-07,9,September,LV Vitamine A,Effets Secondaires,Standard,Faible,0,3.8,3.62,2.5,Neutre,0,Objections non résolues,0,0,À améliorer,0,8.68,Standard (6-10 min),2025
CONV00114,REP018,CLI0197,2025-09-08,9,September,"Echinacée, Zinc, Vit.C",Stock suffisant,Difficile,Bon,1,6.9,6.77,6.3,Positif,1,Demande info,0,1,Confirmé,0,7.23,Standard (6-10 min),2025
CONV00108,REP005,CLI0071,2025-09-08,9,September,LV Fersang junior,Concurrence,Standard,Bon,1,6.8,6.68,6.2,Négatif,-1,À rappeler,0,0,Confirmé,0,7.4,Standard (6-10 min),2025
CONV00360,REP007,CLI0054,2025-09-08,9,September,PHYTOFANE Lotion anti chute,Effets Secondaires,Standard,Excellent,2,9.3,9.46,10.0,Neutre,0,Rendez-vous futur,1,1,Expert,1,8.08,Standard (6-10 min),2025
CONV00117,REP006,CLI0194,2025-09-09,9,September,Vitonic Tonus,Prix élevé,Standard,Bon,1,6.6,6.52,6.0,Positif,1,À rappeler,0,0,Confirmé,0,2.42,Très courte (<3 min),2025
CONV00098,REP016,CLI0007,2025-09-09,9,September,PHYTOFANE Lotion anti chute,Efficacité douteuse,Standard,Faible,0,4.2,4.2,3.9,Positif,1,Refus,0,0,À améliorer,0,9.53,Standard (6-10 min),2025
CONV00093,REP021,CLI0049,2025-09-09,9,September,PHYTOFANE Lotion anti chute,Effets Secondaires,Standard,Bon,1,7.1,7.06,6.7,Neutre,0,Demande info,0,1,Confirmé,0,4.13,Courte (3-6 min),2025
CONV00067,REP020,CLI0153,2025-09-09,9,September,"Echinacée, Zinc, Vit.C",Efficacité douteuse,Standard,Bon,1,6.7,6.56,5.6,Positif,1,Demande info,0,1,Confirmé,1,3.92,Courte (3-6 min),2025
CONV00229,REP011,CLI0216,2025-09-09,9,September,"Echinacée, Zinc, Vit.C",Prix élevé,Standard,Faible,0,4.1,4.18,4.4,Neutre,0,Refus,0,0,À améliorer,0,5.23,Courte (3-6 min),2025
CONV00288,REP002,CLI0158,2025-09-09,9,September,Vitonic Tonus,Marque inconnue,Difficile,Excellent,2,8.8,8.88,9.1,Neutre,0,Commande,1,1,Expert,2,7.25,Standard (6-10 min),2025
CONV00168,REP010,CLI0099,2025-09-10,9,September,LV Vitamine A,Efficacité douteuse,Standard,Excellent,2,8.9,8.83,8.7,Négatif,-1,Rendez-vous futur,1,1,Expert,2,5.57,Courte (3-6 min),2025
CONV00303,REP011,CLI0153,2025-09-10,9,September,LV Fersang junior,Efficacité douteuse,Standard,Bon,1,6.4,6.28,5.3,Neutre,0,À rappeler,0,0,Confirmé,1,9.62,Standard (6-10 min),2025
CONV00347,REP025,CLI0092,2025-09-11,9,September,"Echinacée, Zinc, Vit.C",Concurrence,Standard,Faible,0,5.2,5.08,4.7,Négatif,-1,Objections non résolues,0,0,À améliorer,0,2.23,Très courte (<3 min),2025
CONV00078,REP001,CLI0162,2025-09-12,9,September,LV Fersang junior,Marque inconnue,Difficile,Excellent,2,8.8,8.9,9.1,Neutre,0,Commande,1,1,Expert,2,8.82,Standard (6-10 min),2025
CONV00395,REP007,CLI0115,2025-09-12,9,September,LV Fersang junior,Demande Faible,Standard,Faible,0,4.3,4.23,3.8,Neutre,0,Refus,0,0,À améliorer,0,6.02,Standard (6-10 min),2025
CONV00151,REP003,CLI0111,2025-09-13,9,September,"Echinacée, Zinc, Vit.C",Efficacité douteuse,Standard,Excellent,2,8.5,8.52,8.7,Positif,1,Intérêt Fort,1,1,Expert,2,9.02,Standard (6-10 min),2025
CONV00164,REP022,CLI0160,2025-09-13,9,September,Vitonic Tonus,Concurrence,Standard,Faible,0,4.1,3.77,2.1,Négatif,-1,Pas intéressé,0,0,À améliorer,0,4.87,Courte (3-6 min),2025
CONV00187,REP010,CLI0146,2025-09-13,9,September,LV Vitamine A,Prix élevé,Standard,Faible,0,4.1,4.08,3.9,Positif,1,Refus,0,0,À améliorer,0,2.9,Très courte (<3 min),2025
CONV00207,REP013,CLI0173,2025-09-13,9,September,Omevie Omega 3 – 1000,Prix élevé,Standard,Excellent,2,9.0,9.04,9.2,Neutre,0,Rendez-vous futur,1,1,Expert,2,7.13,Standard (6-10 min),2025
CONV00398,REP022,CLI0034,2025-09-13,9,September,LV CYSPROTECT,Efficacité douteuse,Standard,Faible,0,5.0,4.77,3.9,Positif,1,Refus,0,0,À améliorer,0,6.6,Standard (6-10 min),2025
CONV00024,REP006,CLI0018,2025-09-15,9,September,LV Fersang junior,Prix élevé,Standard,Bon,1,6.5,6.54,6.8,Neutre,0,Intérêt Modéré,0,1,Confirmé,0,2.57,Très courte (<3 min),2025
CONV00259,REP003,CLI0034,2025-09-16,9,September,LV CYSPROTECT,Stock suffisant,Difficile,Bon,1,6.2,6.09,5.7,Positif,1,Intérêt Modéré,0,1,Confirmé,0,3.92,Courte (3-6 min),2025
CONV00393,REP016,CLI0054,2025-09-16,9,September,LV CYSPROTECT,Marque inconnue,Difficile,Bon,1,6.2,6.04,5.3,Neutre,0,Demande info,0,1,Confirmé,0,3.37,Courte (3-6 min),2025
CONV00084,REP005,CLI0129,2025-09-16,9,September,LV Vitamine A,Marque inconnue,Difficile,Faible,0,4.5,4.31,3.6,Neutre,0,Objections non résolues,0,0,À améliorer,0,4.82,Courte (3-6 min),2025
CONV00123,REP008,CLI0112,2025-09-17,9,September,LV Fersang junior,Posologie complexe,Difficile,Bon,1,6.4,6.24,5.7,Neutre,0,À rappeler,0,0,Confirmé,0,5.42,Courte (3-6 min),2025
CONV00386,REP008,CLI0229,2025-09-17,9,September,"Echinacée, Zinc, Vit.C",Effets Secondaires,Standard,Faible,0,3.4,3.23,2.3,Neutre,0,Objections non résolues,0,0,À améliorer,0,8.25,Standard (6-10 min),2025
CONV00090,REP015,CLI0089,2025-09-17,9,September,LV Fersang junior,Concurrence,Standard,Bon,1,6.7,6.66,6.7,Négatif,-1,Intérêt Modéré,0,1,Confirmé,0,4.55,Courte (3-6 min),2025
CONV00367,REP005,CLI0042,2025-09-18,9,September,Omevie Omega 3 – 1000,Demande Faible,Standard,Excellent,2,8.8,8.73,8.3,Négatif,-1,Commande,1,1,Expert,3,9.22,Standard (6-10 min),2025
CONV00074,REP009,CLI0047,2025-09-18,9,September,LV CYSPROTECT,Marque inconnue,Difficile,Bon,1,6.3,6.18,5.7,Négatif,-1,À rappeler,0,0,Confirmé,0,5.72,Courte (3-6 min),2025
CONV00177,REP024,CLI0014,2025-09-18,9,September,PHYTOFANE Lotion anti chute,Demande Faible,Standard,Excellent,2,9.4,9.45,9.7,Neutre,0,Commande,1,1,Expert,3,6.08,Standard (6-10 min),2025
CONV00254,REP016,CLI0084,2025-09-19,9,September,LV CYSPROTECT,Effets Secondaires,Standard,Faible,0,4.6,4.57,4.9,Positif,1,Refus,0,0,À améliorer,0,2.02,Très courte (<3 min),2025
CONV00211,REP018,CLI0150,2025-09-19,9,September,Omevie Omega 3 – 1000,Prix élevé,Standard,Bon,1,6.3,6.2,5.8,Positif,1,Intérêt Modéré,0,1,Confirmé,0,8.13,Standard (6-10 min),2025
CONV00094,REP015,CLI0009,2025-09-19,9,September,Omevie Omega 3 – 1000,Prix élevé,Standard,Bon,1,6.4,6.46,6.5,Neutre,0,Intérêt Modéré,0,1,Confirmé,0,5.1,Courte (3-6 min),2025
CONV00036,REP009,CLI0046,2025-09-19,9,September,LV Fersang junior,Prix élevé,Standard,Excellent,2,9.2,9.23,9.6,Neutre,0,Intérêt Fort,1,1,Expert,2,4.25,Courte (3-6 min),2025
CONV00066,REP016,CLI0019,2025-09-20,9,September,"Echinacée, Zinc, Vit.C",Efficacité douteuse,Standard,Bon,1,6.9,6.96,6.9,Neutre,0,Intérêt Modéré,0,1,Confirmé,1,7.37,Standard (6-10 min),2025
CONV00292,REP025,CLI0057,2025-09-20,9,September,LV Vitamine A,Demande Faible,Standard,Faible,0,5.0,5.04,5.0,Neutre,0,Pas intéressé,0,0,À améliorer,0,9.22,Standard (6-10 min),2025
CONV00073,REP022,CLI0215,2025-09-20,9,September,PHYTOFANE Lotion anti chute,Efficacité douteuse,Standard,Faible,0,4.6,4.26,2.8,Neutre,0,Pas intéressé,0,0,À améliorer,0,7.0,Standard (6-10 min),2025
CONV00091,REP008,CLI0098,2025-09-21,9,September,LV Fersang junior,Marque inconnue,Difficile,Bon,1,7.2,7.13,7.0,Négatif,-1,Demande info,0,1,Confirmé,0,5.05,Courte (3-6 min),2025
CONV00155,REP025,CLI0020,2025-09-21,9,September,LV CYSPROTECT,Effets Secondaires,Standard,Bon,1,6.5,6.36,5.5,Neutre,0,Intérêt Modéré,0,1,Confirmé,0,3.17,Courte (3-6 min),2025
CONV00018,REP018,CLI0034,2025-09-21,9,September,PHYTOFANE Lotion anti chute,Marque inconnue,Difficile,Bon,1,6.9,6.61,5.4,Négatif,-1,Intérêt Modéré,0,1,Confirmé,0,6.92,Standard (6-10 min),2025
CONV00305,REP002,CLI0101,2025-09-21,9,September,LV Fersang junior,Stock suffisant,Difficile,Faible,0,3.6,3.59,3.3,Positif,1,Objections non résolues,0,0,À améliorer,0,6.68,Standard (6-10 min),2025
CONV00368,REP016,CLI0203,2025-09-21,9,September,Omevie Omega 3 – 1000,Prix élevé,Standard,Bon,1,6.5,6.31,5.4,Neutre,0,Intérêt Modéré,0,1,Confirmé,0,6.68,Standard (6-10 min),2025
CONV00103,REP008,CLI0033,2025-09-23,9,September,OLIGOVIT Trio,Prix élevé,Standard,Excellent,2,8.8,8.68,8.4,Positif,1,Commande,1,1,Expert,2,3.75,Courte (3-6 min),2025
CONV00025,REP022,CLI0150,2025-09-23,9,September,"Echinacée, Zinc, Vit.C",Efficacité douteuse,Standard,Bon,1,6.5,6.34,5.6,Positif,1,À rappeler,0,0,Confirmé,1,6.45,Standard (6-10 min),2025
CONV00126,REP022,CLI0226,2025-09-23,9,September,LV CYSPROTECT,Marque inconnue,Difficile,Bon,1,7.1,6.94,6.3,Négatif,-1,Intérêt Modéré,0,1,Confirmé,0,7.48,Standard (6-10 min),2025
CONV00261,REP003,CLI0136,2025-09-23,9,September,Vitonic Tonus,Concurrence,Standard,Bon,1,6.1,6.02,5.4,Neutre,0,Demande info,0,1,Confirmé,0,2.07,Très courte (<3 min),2025
CONV00361,REP025,CLI0091,2025-09-24,9,September,LV Fersang junior,Effets Secondaires,Standard,Bon,1,7.2,7.03,6.3,Positif,1,Demande info,0,1,Confirmé,0,6.08,Standard (6-10 min),2025
CONV00179,REP017,CLI0054,2025-09-24,9,September,Vitonic Tonus,Prix élevé,Standard,Faible,0,4.5,4.54,4.9,Positif,1,Objections non résolues,0,0,À améliorer,0,4.77,Courte (3-6 min),2025
CONV00181,REP016,CLI0090,2025-09-24,9,September,OLIGOVIT Trio,Marque inconnue,Difficile,Faible,0,4.3,4.14,3.7,Négatif,-1,Refus,0,0,À améliorer,0,9.97,Standard (6-10 min),2025
CONV00156,REP017,CLI0100,2025-09-24,9,September,LV CYSPROTECT,Concurrence,Standard,Excellent,2,9.1,9.3,10.0,Négatif,-1,Intérêt Fort,1,1,Expert,1,3.0,Courte (3-6 min),2025
CONV00297,REP006,CLI0182,2025-09-24,9,September,OLIGOVIT Trio,Marque inconnue,Difficile,Faible,0,4.3,4.23,4.0,Négatif,-1,Pas intéressé,0,0,À améliorer,0,7.92,Standard (6-10 min),2025
CONV00378,REP001,CLI0142,2025-09-25,9,September,OLIGOVIT Trio,Demande Faible,Standard,Excellent,2,8.8,8.86,9.1,Négatif,-1,Commande,1,1,Expert,3,3.2,Courte (3-6 min),2025
CONV00218,REP013,CLI0097,2025-09-26,9,September,"Echinacée, Zinc, Vit.C",Efficacité douteuse,Standard,Excellent,2,8.4,8.54,9.0,Négatif,-1,Intérêt Fort,1,1,Expert,2,6.05,Standard (6-10 min),2025
CONV00215,REP001,CLI0137,2025-09-26,9,September,LV Vitamine A,Marque inconnue,Difficile,Excellent,2,9.2,9.32,10.0,Négatif,-1,Commande,1,1,Expert,2,5.5,Courte (3-6 min),2025
CONV00039,REP023,CLI0076,2025-09-26,9,September,"Echinacée, Zinc, Vit.C",Effets Secondaires,Standard,Excellent,2,9.2,9.24,9.5,Positif,1,Commande,1,1,Expert,1,3.08,Courte (3-6 min),2025
CONV00163,REP007,CLI0163,2025-09-26,9,September,Omevie Omega 3 – 1000,Efficacité douteuse,Standard,Excellent,2,8.9,8.93,9.0,Négatif,-1,Commande,1,1,Expert,2,4.33,Courte (3-6 min),2025
CONV00284,REP015,CLI0143,2025-09-27,9,September,"Echinacée, Zinc, Vit.C",Prix élevé,Standard,Excellent,2,8.7,8.62,8.2,Neutre,0,Commande,1,1,Expert,2,4.12,Courte (3-6 min),2025
CONV00015,REP022,CLI0122,2025-09-27,9,September,Vitonic Tonus,Concurrence,Standard,Excellent,2,9.0,8.84,8.4,Neutre,0,Rendez-vous futur,1,1,Expert,1,3.4,Courte (3-6 min),2025
CONV00082,REP018,CLI0196,2025-09-28,9,September,OLIGOVIT Trio,Effets Secondaires,Standard,Bon,1,6.5,6.45,6.4,Positif,1,Demande info,0,1,Confirmé,0,5.22,Courte (3-6 min),2025
CONV00307,REP003,CLI0165,2025-09-28,9,September,Omevie Omega 3 – 1000,Marque inconnue,Difficile,Excellent,2,9.1,9.07,8.9,Négatif,-1,Intérêt Fort,1,1,Expert,2,5.3,Courte (3-6 min),2025
CONV00135,REP004,CLI0130,2025-09-29,9,September,Omevie Omega 3 – 1000,Efficacité douteuse,Standard,Bon,1,7.1,7.02,6.8,Neutre,0,Demande info,0,1,Confirmé,1,9.12,Standard (6-10 min),2025
CONV00371,REP013,CLI0066,2025-09-29,9,September,LV Fersang junior,Posologie complexe,Difficile,Excellent,2,9.4,9.24,8.7,Positif,1,Rendez-vous futur,1,1,Expert,1,8.17,Standard (6-10 min),2025
CONV00221,REP022,CLI0230,2025-09-29,9,September,"Echinacée, Zinc, Vit.C",Stock suffisant,Difficile,Bon,1,7.2,7.04,6.4,Positif,1,Intérêt Modéré,0,1,Confirmé,0,4.82,Courte (3-6 min),2025
