name,forme,classe,categories_list,primary_category,category_count,indications,infos_produit,indication_count,is_complete,avatar_priority_score,url,image_url
Omevie Cardio - 900,Capsule,Complément alimentaire,"['Cholestérol', 'Immunité', 'Maladies cardiovasculaires']",Cholestérol,3,- Renforce l’immunité - Contribue au fonctionnement normal du système cardio-vasculaire - Réduit le taux des lipides et des LDL- cholestérol,Boite de 30 capsules,4,1,8.75,https://vital.com.tn/products/omevie-cardio-900/,https://vital.com.tn/wp-content/uploads/2019/06/cardio.png
Omevie Omega 3 - 1000,Capsule,Complément alimentaire,"['Développement cérébral', 'Concentration', 'Immunité']",Développement cérébral,3,- Contribue au bon développement cérébral - Maintenir une bonne vision - Prévient et réduit l’inflammation secondaire à une infection virale - Concentration,Boite de 30 capsules,4,1,8.75,https://vital.com.tn/products/omevie-omega-3-1000/,https://vital.com.tn/wp-content/uploads/2019/06/omega-3-1000.png
Plantex vitamine C,Sachet,Complément alimentaire,"['Immunité', 'Energie', 'Fatigue']",Immunité,3,- Contribue à renforcer les défenses immunitaires - Améliore le métabolisme énergétique - Aide à résister au stresse et à la fatigue - Protège des virus ambiants,Boite de 12 sachets,4,1,8.75,https://vital.com.tn/products/plantex-vitamine-c/,https://vital.com.tn/wp-content/uploads/2022/07/Plantex-Vitamine-C.png
SWEET bronzage,Gummies,Complément alimentaire,"['Peau', 'Anti-âge', 'Protection solaire']",Peau,3,- Prolonge le teint bronzé des zones exposées pour une durée plus longue - Renforce les défenses contre l’agressions des rayons UV - Diminution des lésions induites par la photosensibilité - Puissants pigments naturels permettant de limiter les effets néfastes du soleil sur la peau - Effet bonne mine et peau saine - Diminue le risque de vieillissement secondaire à l’exposition - Anti-oxydant & anti-âge,Boite de 30 gummies,7,1,8.75,https://vital.com.tn/products/sweet-bronzage-2/,https://vital.com.tn/wp-content/uploads/2022/07/SWEET-bronzage.png
Omevie Omega 3 - 500,Capsule,Complément alimentaire,"['Concentration', 'Développement cérébral', 'Immunité']",Concentration,3,- Contribue au bon développement cérébral - Maintenir une bonne vision - Prévient et réduit l’inflammation secondaire à une infection virale - Concentration,Boite de 30 capsules,4,1,8.75,https://vital.com.tn/products/omevie-omega-3-500/,https://vital.com.tn/wp-content/uploads/2020/09/Omega-3-500.png
Mincicare 4 actions,Solution,Complément alimentaire,"['Détox', 'Drainage']",Détox,2,- Draineur - Brûleur de graisses - Détoxifiant - Coupe Faim,Non spécifié,4,1,8.5,https://vital.com.tn/products/mincicare-4-actions/,https://vital.com.tn/wp-content/uploads/2020/09/Mincicare.png
SWEET health fer,Gummies,Complément alimentaire,"['Carence en Fer', 'Anémie']",Carence en Fer,2,- Prévenir les carences en fer - Faible risque de constipation - Traitement de l’anémie chez l’adulte et la femme enceinte - Meilleur absorption du fer grâce à la vitamine C,Boite de 30 gummies,4,1,8.5,https://vital.com.tn/products/sweet-health-fer/,https://vital.com.tn/wp-content/uploads/2022/07/SWEEThealth-fer.png
LV Vitamine A,Créme,Complément alimentaire,"['Acné', 'Peau']",Acné,2,- Engelure - Réduit l’apparition des rides - Traite l’acné chez les adolescents et les adultes - Régule la pigmentation - Prévient les dommages cellulaires - Soutient la santé de la peau - Stimule la production de collagène,Non spécifié,7,1,8.5,https://vital.com.tn/products/vitamine-a-2/,https://vital.com.tn/wp-content/uploads/2020/09/Vitamine-A.png
LV Fersang Sirop,Sirop,Complément alimentaire,"['Anémie', 'Carence en Fer']",Anémie,2,"- Prévention de la carence martiale - Traitement de l’anémie chez l’adulte, l’enfant et la femme enceinte - Restitution des réserves en fer - Fortifie le sang - Faible risque de constipation",Flacon de 150 ml,5,1,8.5,https://vital.com.tn/products/lv-fersang-sirop/,https://vital.com.tn/wp-content/uploads/2017/08/Fersang-sirop.png
Pulmax Anti-Tussif,Sirop,Complément alimentaire,"['Toux', 'Immunité']",Toux,2,- Apaise la toux - Dégage les voies respiratoires - SANS SUCRE - Adapté aux diabétiques,Sirop sans sucre 150 ml,4,1,8.5,https://vital.com.tn/products/pulmax-anti-tussif/,https://vital.com.tn/wp-content/uploads/2022/08/Pulmax.png
LV Vitamine D3,Gélule,Complément alimentaire,"['Immunité', 'Carence en Vit D']",Immunité,2,- Immunostimulant - Réduit le risque d’infections respiratoires graves - Améliore l’absorption du calcium - Aide à maintenir des os solides et sains - Nécessaire pour le bon fonctionnement des muscles,Boite de 30 gélules,5,1,8.5,https://vital.com.tn/products/vitamine-d3-5/,https://vital.com.tn/wp-content/uploads/2020/09/Vitamine-D3-1.png
LV Fersang Bisglycinate de Fer,Gélule,Complément alimentaire,['Anémie'],Anémie,1,"- Prévention de la carence martiale - Traitement de l’anémie chez l’adulte, l’enfant et la femme enceinte - Restitution des réserves en fer - Réduit le risque de constipation - Fortifie le sang",Boite de 60 gélules,5,1,8.25,https://vital.com.tn/products/fersang-bisglycinate-de-fer/,https://vital.com.tn/wp-content/uploads/2018/08/Fersang-Bis.png
LV Hemostop 60 Gélules,Gélule,Complément alimentaire,['Hémorroïdes'],Hémorroïdes,1,- Hémorroïdes - Soulage la douleur de la crise hémorroïdaire - Réduit l’inflammation due à l’hémorroïde - Réduit la fréquence des crises hémorroïdaires,Non spécifié,4,1,8.25,https://vital.com.tn/products/hermostop/,https://vital.com.tn/wp-content/uploads/2020/09/Hermostop-Gelules.png
LV Sesa,Pommade,Complément alimentaire,['Cicatrices'],Cicatrices,1,"- Favorise la cicatrisation et la réparation dermique - Brûlures de premier degré & second degré superficielles et profondes - Plaies chroniques (escarres de lit, pied de diabétique), - ulcères des jambes, plaies chirurgicales y compris obstétriques",Non spécifié,4,1,8.25,https://vital.com.tn/products/sesa-2/,https://vital.com.tn/wp-content/uploads/2020/09/Sesa.png
Pédiakids Spray Nasal,Liquide,Complément alimentaire,['Rhume'],Rhume,1,- Nettoie et humidifie la muqueuse nasale - Désobstruction nasale - Solution isotonique - Evacue les agents infectieux et allergènes,Flacon de 20 ml,4,1,8.25,https://vital.com.tn/products/spray-nasal/,https://vital.com.tn/wp-content/uploads/2018/08/Spray-nasal.png
Vitonic Zinc Vit.D3,Gélule,Complément alimentaire,['Immunité'],Immunité,1,- Aide à renforcer le système immunitaire - Participe à la régulation de l’immunité - Le maintien et le développement des cellules dans le système immunitaire - Bon fonctionnement du système immunitaire et système redox,Boite de 30 gélules,4,1,8.25,https://vital.com.tn/products/vitonic-zinc-vit-d3/,https://vital.com.tn/wp-content/uploads/2021/12/Vitonic-Zin.png
Vaseline Salicylée 2%,Crème,Crème,['Peau'],Peau,1,- Croûtes - Callosités - Fissures - Squames,"Peau douce, lisse et visiblement saine",4,1,8.25,https://vital.com.tn/products/vaseline-salicylee-2/,https://vital.com.tn/wp-content/uploads/2022/07/VASELINE-salicylee.png
Hydra,Crème,Crème,['Peau'],Peau,1,- Hydratation en profondeur de la peau - Nutrition de la peau - Adoucissement de la peau - Assouplissement de la peau - Régénération et cicatrisation cutanée,Crème visage et corps pour une peau douce et hydratée 24H/24,5,1,8.25,https://vital.com.tn/products/hydra/,https://vital.com.tn/wp-content/uploads/2020/09/Hydra-boite.png
LV Tetra B,Gélule,Complément alimentaire,['Equilibre métabolique'],Equilibre métabolique,1,- Production d’énergie - Équilibre du système nerveux - Prévention cardiovasculaire - Renouvellement cellulaire,Non spécifié,4,1,8.25,https://vital.com.tn/products/tetra-b-4/,https://vital.com.tn/wp-content/uploads/2020/09/Tetra-B-site.png
OLIGOVIT Trio,Gélule,Complément alimentaire,['Immunité'],Immunité,1,- Contribue au fonctionnement normal du système immunitaire - Contribue à un métabolisme énergétique normal et à réduire la fatigue - Réduit le risque de l’infection et de la pneumonie - Réduit l’inflammation - Diminue le risque de la SDRA,15 Gélules,5,1,8.25,https://vital.com.tn/products/oligovit-trio-3/,https://vital.com.tn/wp-content/uploads/2024/07/oligovit-Trio-b15-1.jpg
Vitonic Trio Grossesse,Gélule,Complément alimentaire,['Immunité'],Immunité,1,- Contribue au fonctionnement normal du système immunitaire - Aide à protéger et à renforcer la barrière intestinale - Contribue à un métabolisme énergétique normal et à réduire la fatigue - Aide à protéger les cellules contre le stress oxydatif,Boite de 30 gélules,4,1,8.25,https://vital.com.tn/products/vitonic-trio-grossesse/,https://vital.com.tn/wp-content/uploads/2021/12/Vitonic-Trio.png
Pédiakids Apigrip Sans Sucre,Sirop,Complément alimentaire,"['Grippe', 'Rhume', 'Soulage']",Grippe,3,"- Anti-grippal - Réduit les signes inflammatoires du rhume - Traitement curatif et préventif, pour soulager le nez et la gorge",150 ML,3,1,7.25,https://vital.com.tn/products/pediakids-apigrip-sans-sucre-2/,https://vital.com.tn/wp-content/uploads/2025/02/Pediakids-APIGRIP-sans-sucre.png
Spiruline,Gélule,Complément alimentaire,"['Revitalisant', 'Fatigue', 'Immunité']",Revitalisant,3,- immunostimulant - Fortifiant et nutritif - Fortifiant phanère,Boite de 60 gélules,3,1,7.25,https://vital.com.tn/products/spiruline-4/,https://vital.com.tn/wp-content/uploads/2017/08/Spiruline-1.png
Pédiakids APITOU N°1 Sans Sucre,Sirop,Complément alimentaire,"['Soulage', 'Toux', 'Toux grasse']",Soulage,3,- Dégage les voies respiratoires - Expectorant - Toux grasse,150 ML,3,1,7.25,https://vital.com.tn/products/pediakids-apitou-n1-sans-sucre/,https://vital.com.tn/wp-content/uploads/2025/02/Pediakids-APITOU-1-sans-sucre.png
Minciligne Draineur,Gélule,Complément alimentaire,"['Coupe faim', 'Détox', 'Drainage']",Coupe faim,3,- Détoxification du foie - Favorise l’élimination rénale - Stimule la combustion des graisses,Boite de 30 Gélules,3,1,7.25,https://vital.com.tn/products/minciligne-draineur-2/,https://vital.com.tn/wp-content/uploads/2018/08/minciligne-draineur.png
LV Fersang junior,Sirop,Complément alimentaire,"['Anémie', 'Carence en Fer']",Anémie,2,- Traitement de l’anémie chez l’enfant à partir de 2 ans - Restitution des réserves en fer - Fortifie le sang sans risque de constipation,Flacon de 150 ml,3,1,7.0,https://vital.com.tn/products/lv-fersang-junior/,https://vital.com.tn/wp-content/uploads/2022/08/Fersang-junior.png
Mincicare,Gélule,Complément alimentaire,"['Drainage', 'Détox']",Drainage,2,- Draineur : facilite la perte du poids et stimule l’élimination urinaire des déchets et toxines - Brûleur de graisses : (Omega 3 - CLA) ayant des propriétés amincissantes aide à débarrasser l’organisme des graisses stockées,Non spécifié,3,1,7.0,https://vital.com.tn/products/mincicare-3/,https://vital.com.tn/wp-content/uploads/2020/09/Mincicare-1.png
Omevie Articulation - 900,Capsule,Complément alimentaire,"['Confort articulaire', 'Douleurs articulaires']",Confort articulaire,2,- Confort articulaire - Articulation souple et confortable - Soulage les douleurs arthrosiques,Boite de 30 capsules,3,1,7.0,https://vital.com.tn/products/omevie-articulation-900/,https://vital.com.tn/wp-content/uploads/2019/06/articulation.png
Minciligne Vitaminé,Solution,Complément alimentaire,"['Brûle graisses', 'Coupe faim']",Brûle graisses,2,- Coupe faim - Obésité - Adjuvant de régime.,20 Sachets de 10 ml,3,1,7.0,https://vital.com.tn/products/minciligne-vitamine-2-2/,https://vital.com.tn/wp-content/uploads/2018/08/minciligne-vitamine.png
SWEET slim coupe faim,Gummies,Complément alimentaire,"['Coupe faim', 'Elimination des graisses']",Coupe faim,2,- Procure une sensation de satiété - Limite les grignotage - Réduit l’absorption des graisses et de sucre,Boite de 30 gummies,3,1,7.0,https://vital.com.tn/products/sweet-slim-coupe-faim/,https://vital.com.tn/wp-content/uploads/2022/07/SWEETslim-coupe-faim.png
Rhinoplant,Spray,Complément alimentaire,"['Grippe', 'Rhume']",Grippe,2,"- Nettoie et humidifie la muqueuse nasale - Désobstruction nasale - Solution isotonique, permet d’évacuer les agents infectieux et allergènes",Flacon de 20 ml,3,1,7.0,https://vital.com.tn/products/rhinoplant-3/,https://vital.com.tn/wp-content/uploads/2019/06/Rhinoplant-1.png
Minciligne Brûle Graisse,Gélule,Complément alimentaire,"['Brûle graisses', 'Détox']",Brûle graisses,2,- Perte de poids - Stimule la thermogenèse - Élimine et déstocke les graisses,Boite de 20 Gélules,3,1,7.0,https://vital.com.tn/products/minciligne-brule-graisse-2/,https://vital.com.tn/wp-content/uploads/2018/08/minici-ligne-brule-graisse.png
TC 2000 Savon,Savon,Savon Dermatologique,"['Anti-tâches', 'Exfoliant']",Anti-tâches,2,"- Effet éclaircissant, anti tâches brunes - Élimine les cellules mortes de l’épiderme tout en nettoyant la peau - Unifie le teint grâce à l’argile",Savon 90 gr,3,1,7.0,https://vital.com.tn/products/tc-2000-savon/,https://vital.com.tn/wp-content/uploads/2017/08/tc2000-savon.jpg
Phytofane huile d’argan,Huile,Huile,['Cheveux'],Cheveux,1,- Réduit le processus de chute des cheveux - Soin profond pour hydrater et réparer les cheveux secs et cassants - Redonne éclat et brillance aux cheveux,Contient 120 ml,3,1,6.75,https://vital.com.tn/products/phytofane-huile-dargan/,https://vital.com.tn/wp-content/uploads/2022/07/PHYTOPHANE-huile-dargan.png
Pédiakids Immunovit,Sirop,Complément alimentaire,['Immunité'],Immunité,1,- Traitement préventif en période pré-hivernale - Stimulation des défenses naturelles - Efficace pour faire face aux bronchites à répétition,Flacon de 150 ml,3,1,6.75,https://vital.com.tn/products/immunovit/,https://vital.com.tn/wp-content/uploads/2018/08/Immunovit-1.png
"Echinacée, Zinc, Vit.C",Gélule,Complément alimentaire,['Immunité'],Immunité,1,- Aide à protéger l’organisme des infections - Stimule la protection d’anticorps - Aide à réduire la durée du rhume,Boite de 30 gélules,3,1,6.75,https://vital.com.tn/products/echizinc-2/,https://vital.com.tn/wp-content/uploads/2020/10/Echinace.png
Vitonic Fer Grossesse,Gélule,Complément alimentaire,['Grossesse'],Grossesse,1,- Palier les carences en fer - Apport en vitamines et oligo-éléments - Réduit les nausées matinales au cours de la grossesse,Boite de 30 gélules,3,1,6.75,https://vital.com.tn/products/vitonic-fer-grossesse/,https://vital.com.tn/wp-content/uploads/2018/08/VITONIC-fer-grossesse.png
TC 2000 Nutractiva,Gélule,Complément alimentaire,['Anti-tâches'],Anti-tâches,1,- Contribue au renouvellement cellulaire - Antiradicalaire - Antioxydant,Boite de 60 gélules,3,1,6.75,https://vital.com.tn/products/tc-2000-nutractiva/,https://vital.com.tn/wp-content/uploads/2017/08/NUTRACTIVA.jpg
MULTIBON SOMMEIL,Gummies,Complément alimentaire,['Troubles de sommeil'],Troubles de sommeil,1,- Favorise l’endormissement - Améliore la qualité du sommeil - Evite les réveils nocturnes,Boite de 30 gummies,3,1,6.75,https://vital.com.tn/products/multibon-sommeil-2/,https://vital.com.tn/wp-content/uploads/2022/07/MULTIBON-sommeil.png
Mincivit Detox,Flacon (250 Ml),Complément alimentaire,['Détox'],Détox,1,- Favorise le drainage des toxines - Stimule les fonctions dépuratives rénales - Adjuvant du régime amincissant,Non spécifié,3,1,6.75,https://vital.com.tn/products/mincivit-detox/,https://vital.com.tn/wp-content/uploads/2020/09/Detox.png
UNIDERM Anti-tache,Crème,Crème Pour La Peau,['Anti-tâches'],Anti-tâches,1,- Favorise la disparition des taches et les imperfections cutanées - Effet éclaircissant de la peau - Hydrate la peau en profondeur et renouvelle les cellules,Tube de 45 g,3,1,6.75,https://vital.com.tn/products/uniderm-anti-tache/,https://vital.com.tn/wp-content/uploads/2022/10/UNIDERM-creme-anti-tache.png
Grossivit Gélule,Gélule,Autre,"['Appétit', 'Prise de poids']",Appétit,2,- Favorise la prise de poids - Assure un précieux apport en éléments nutritifs* - Améliore la digestion - Stimule l’appétit,Boite de 60 gélules,4,0,6.5,https://vital.com.tn/products/grossivit-gelule/,https://vital.com.tn/wp-content/uploads/2019/05/gROSSIVIT.png
Hydra eau micellaire,Forme non spécifiée,Autre,['Peau'],Peau,1,- Nettoyante - Démaquillante - Purifiante - Aide à éliminer les impuretés - Se débarrasse de l’excès de sébum en douceur - Laisse la peau nette et fraîche,Peau sèche,6,0,6.25,https://vital.com.tn/products/hydra-eau-micellaire-3/,https://vital.com.tn/wp-content/uploads/2022/07/HYDRA-eau-micellaire-peau-seche.png
Dermagyn 200 ml,Forme non spécifiée,Autre,['Hygiène Intime'],Hygiène Intime,1,- Protège et apaise l’irritation - Hygiène intime au quotidien - Procure fraicheur et confort tout au long de la journée - PH adapté à la flore vaginale,Non spécifié,4,0,6.25,https://vital.com.tn/products/dermagyn-200-ml/,https://vital.com.tn/wp-content/uploads/2021/08/geeel.png
Hydra eau micellaire,Forme non spécifiée,Autre,['Peau'],Peau,1,- Nettoyante - Démaquillante - Purifiante - Aide à éliminer les impuretés - Se débarrasse de l’excès de sébum en douceur - Laisse la peau nette et fraîche,Peau normale,6,0,6.25,https://vital.com.tn/products/hydra-eau-micellaire/,https://vital.com.tn/wp-content/uploads/2022/07/HYDRA-eau-micellaire-peau-normale.png
Hydra eau micellaire,Forme non spécifiée,Autre,['Peau'],Peau,1,- Nettoyante - Démaquillante - Purifiante - Aide à éliminer les impuretés - Se débarrasse de l’excès de sébum en douceur - Laisse la peau nette et fraîche,Peau grasse,6,0,6.25,https://vital.com.tn/products/hydra-eau-micellaire-2/,https://vital.com.tn/wp-content/uploads/2022/07/HYDRA-eau-micellaire-peau-grasse.png
LV Hemostop Crème 45 gr,Crème,Autre,['Hémorroïdes'],Hémorroïdes,1,- Hémorroïdes - Soulage la douleur de la crise hémorroïdaire - Réduit l’inflammation due à l’hémorroïde - Réduit la fréquence des crises hémorroïdaires,Non spécifié,4,0,6.25,https://vital.com.tn/products/lv-hemostop-creme/,https://vital.com.tn/wp-content/uploads/2020/09/hemostop.png
Pédiakids APITOU N°2 Sans Sucre,Sirop,Complément alimentaire,"['Soulage', 'Toux', 'Toux sèche']",Soulage,3,- Soulager la toux sèche chez les enfants - Calmer les voies respiratoires,150 ML,2,1,5.75,https://vital.com.tn/products/pediakids-apitou-n2-sans-sucre/,https://vital.com.tn/wp-content/uploads/2025/02/Pediakids-APITOU-2-sans-sucre.png
MULTIBON OMEGA 3,Gummies,Complément alimentaire,"['Concentration', 'Développement cérébral']",Concentration,2,- Participe à la croissance et le bon développement des enfants - Soutient les fonctions cognitives et renforce la concentration et la mémorisation,Boite de 30 gummies,2,1,5.5,https://vital.com.tn/products/multibon-omega-3/,https://vital.com.tn/wp-content/uploads/2022/07/MULTIBON-omega3.png
LV PhytoVeine Huile,Huile,Huile Pour Massage,"['Jambes lourdes', 'Varices']",Jambes lourdes,2,- Soulage les douleurs des jambes lourdes - Stimule la circulation sanguine,Flacon de 60 ml,2,1,5.5,https://vital.com.tn/products/lv-phytoveine-huile/,https://vital.com.tn/wp-content/uploads/2017/08/Phytoveine-1.png
Oligovit magnésium,Gélule,Complément alimentaire,"['Anti-stress', 'Fatigue']",Anti-stress,2,- Réduire la fatigue - Soutenir le fonctionnement normal des muscles et du système nerveux,Boite de 30 gélules,2,1,5.5,https://vital.com.tn/products/oligovit-magnesium-2/,https://vital.com.tn/wp-content/uploads/2022/07/Oligovit-Magnesium.png
Angiplant Sirops,Sirop,Complément alimentaire,"['Grippe', 'Immunité']",Grippe,2,"- Triple action: Antiseptique, anti-inflammatoire et cicatrisante de la gorge - Apaise, adoucit et assainit la gorge",Flacon de 150 ml,2,1,5.5,https://vital.com.tn/products/angiplant/,https://vital.com.tn/wp-content/uploads/2019/06/Agiplant.png
Minciligne Jeune & Ado,Solution,Complément alimentaire,"['Brûle graisses', 'Drainage']",Brûle graisses,2,- Draineur - Adjuvant de régime amincissant,275ml,2,1,5.5,https://vital.com.tn/products/minciligne-jeune-ado-2/,https://vital.com.tn/wp-content/uploads/2021/12/Minciligne-jeune-ado.png
Angiplant Spray,Spray,Complément alimentaire,"['Grippe', 'Immunité']",Grippe,2,"- Triple action: Antiseptique, anti-inflammatoire et cicatrisante de la gorge - Apaise, adoucit et assainit la gorge",Spray 20 ml,2,1,5.5,https://vital.com.tn/products/angiplant-spray-2/,https://vital.com.tn/wp-content/uploads/2019/06/angi.png
Huile de Menthe,Liquide,Complément alimentaire,"['Ballonnement et gaz', 'Digestion']",Ballonnement et gaz,2,- Difficulté de digestion - Diminuer les flatulences,Flacon de 65 ml,2,1,5.5,https://vital.com.tn/products/huile-de-menthe-2/,https://vital.com.tn/wp-content/uploads/2018/08/HUILE-DE-MENTHE-.jpg
LV PhytoVeine Gel,Gel,Gel Pour Massage,"['Varices', 'Jambes lourdes']",Varices,2,- Soulage les douleurs des jambes lourdes - Stimule la circulation sanguine,Tube de 90 gr,2,1,5.5,https://vital.com.tn/products/lv-phytoveine-gel/,https://vital.com.tn/wp-content/uploads/2021/06/phytpveine-gel.png
MULTIBON VITAMINE C Acérola,Guumies,Complément alimentaire,"['Immunité', 'Energie']",Immunité,2,- Renforce les défenses naturelles - Apporte l’énergie et la vitalité nécessaire pour un bon état neurologique,Boite de 30 gummies,2,1,5.5,https://vital.com.tn/products/multibon-vitamine-c-acerola/,https://vital.com.tn/wp-content/uploads/2022/07/MULTIBON-vitamineC-acerola.png
MULTIBON IMMUNITÉ,Gummies,Complément alimentaire,['Immunité'],Immunité,1,- Contribue au renforcement du système immunitaire - Améliore les défenses naturelles contre les maladies virales et infectieuses,Boite de 30 gummies,2,1,5.25,https://vital.com.tn/products/multibon-immunite-2/,https://vital.com.tn/wp-content/uploads/2022/07/MULTIBON-immunite.png
Pédiakids Gripe water,Sirop,Complément alimentaire,['Ballonnement et gaz'],Ballonnement et gaz,1,- Soulage rapidement les flatulences - Faciliter la digestion,Flacon de 150 ml,2,1,5.25,https://vital.com.tn/products/pediakids-gripe-water/,https://vital.com.tn/wp-content/uploads/2020/09/Gripe-water.png
LV Psolcalm,Pommade,Complément alimentaire,['psoriasis'],psoriasis,1,- Diminue les démangeaisons liées au psoriasis - Soulage et apaise les irritations dûes au psoriasis,Non spécifié,2,1,5.25,https://vital.com.tn/products/psolcalm/,https://vital.com.tn/wp-content/uploads/2020/09/Psocalm.png
