name,url,image_url,categories,indications,forme,infos_produit,classe,forme_normalized,classe_normalized,categories_list,primary_category,category_count,indication_count,is_complete,is_supplement,is_cosmetic,is_medical,is_care_product,is_topical,is_oral,avatar_priority_score
MULTIBON OMEGA 3,https://vital.com.tn/products/multibon-omega-3/,https://vital.com.tn/wp-content/uploads/2022/07/MULTIBON-omega3.png,"Concentration, Développement cérébral",- Participe à la croissance et le bon développement des enfants - Soutient les fonctions cognitives et renforce la concentration et la mémorisation,Gummies,Boite de 30 gummies,Complément alimentaire,Gummies,Complément alimentaire,"['Concentration', 'Développement cérébral']",Concentration,2,2,1,1,0,0,0,0,0,5.5
Pédiakids APITOU N°1,https://vital.com.tn/products/pediakids-apitou-n1/,https://vital.com.tn/wp-content/uploads/2017/08/Pediakids-APITOU-1-1.png,Toux grasse,Information non disponible,Sirop,Flacon de 150 ml,Complément alimentaire,Sirop,Complément alimentaire,['Toux grasse'],Toux grasse,1,0,0,1,0,0,0,0,1,0.25
LV Tetra B,https://vital.com.tn/products/tetra-b-4/,https://vital.com.tn/wp-content/uploads/2020/09/Tetra-B-site.png,Equilibre métabolique,- Production d’énergie - Équilibre du système nerveux - Prévention cardiovasculaire - Renouvellement cellulaire,gélule,Non spécifié,Complément alimentaire,Gélule,Complément alimentaire,['Equilibre métabolique'],Equilibre métabolique,1,4,1,1,0,0,0,0,1,8.25
Vitosine Eosine Aqueuse 2%,https://vital.com.tn/products/vitosine-eosine-aqueuse-2/,https://vital.com.tn/wp-content/uploads/2023/11/Vitosine.jpg,"Eosine, Peau, Solution cutanée asséchante","Nettoie et assèche les lésions de la peau susceptibles de se surinfecter, notamment nouveau-né (cordon ombilical et érythème fessier).",Spray,30ML,Nettoyer et assécher la peau,Spray,Nettoyer Et Assécher La Peau,"['Eosine', 'Peau', 'Solution cutanée asséchante']",Eosine,3,1,1,0,0,0,0,0,0,4.25
Pédiakids Immunovit,https://vital.com.tn/products/immunovit/,https://vital.com.tn/wp-content/uploads/2018/08/Immunovit-1.png,Immunité,- Traitement préventif en période pré-hivernale - Stimulation des défenses naturelles - Efficace pour faire face aux bronchites à répétition,Sirop,Flacon de 150 ml,Complément alimentaire,Sirop,Complément alimentaire,['Immunité'],Immunité,1,3,1,1,0,0,0,0,1,6.75
Planthérapie Plantexil Sans sucre,https://vital.com.tn/products/plantherapie-plantexil-sans-sucre-2/,https://vital.com.tn/wp-content/uploads/2023/10/Plantherapie-Plantexil-Sans-sucre-1.jpg,"Confort respiratoire, Toux sèche",• Calme les voies respiratoires • Toux sèche,Sirop,150 ML,Complément alimentaire,Sirop,Complément alimentaire,"['Confort respiratoire', 'Toux sèche']",Confort respiratoire,2,1,1,1,0,0,0,0,1,4.0
LV Diabemin,https://vital.com.tn/products/diabemin-3/,https://vital.com.tn/wp-content/uploads/2017/08/Diabemin.png,Glycémie,Information non disponible,Gélule,Boite de 30 gélules,Complément alimentaire,Gélule,Complément alimentaire,['Glycémie'],Glycémie,1,0,0,1,0,0,0,0,1,0.25
Dermagyn 200 ml,https://vital.com.tn/products/dermagyn-200-ml/,https://vital.com.tn/wp-content/uploads/2021/08/geeel.png,Hygiène Intime,- Protège et apaise l’irritation - Hygiène intime au quotidien - Procure fraicheur et confort tout au long de la journée - PH adapté à la flore vaginale,Forme non spécifiée,Non spécifié,Autre,Forme non spécifiée,Autre,['Hygiène Intime'],Hygiène Intime,1,4,0,0,0,0,0,0,0,6.25
Planthérapie Allergiplant,https://vital.com.tn/products/plantherapie-allergiplant-2/,https://vital.com.tn/wp-content/uploads/2023/10/Plantherapie-Allergiplant.jpg,"Allergie, Immunité",• Équilibre la réponse du système immunitaire de l’organisme,Sachets,20 Sachets,Complément alimentaire,Sachet,Complément alimentaire,"['Allergie', 'Immunité']",Allergie,2,1,1,1,0,0,0,0,1,4.0
SWEET bronzage,https://vital.com.tn/products/sweet-bronzage-2/,https://vital.com.tn/wp-content/uploads/2022/07/SWEET-bronzage.png,"Peau, Anti-âge, Protection solaire",- Prolonge le teint bronzé des zones exposées pour une durée plus longue - Renforce les défenses contre l’agressions des rayons UV - Diminution des lésions induites par la photosensibilité - Puissants pigments naturels permettant de limiter les effets néfastes du soleil sur la peau - Effet bonne mine et peau saine - Diminue le risque de vieillissement secondaire à l’exposition - Anti-oxydant & anti-âge,Gummies,Boite de 30 gummies,Complément alimentaire,Gummies,Complément alimentaire,"['Peau', 'Anti-âge', 'Protection solaire']",Peau,3,7,1,1,0,0,0,0,0,8.75
LV Hemostop Crème 45 gr,https://vital.com.tn/products/lv-hemostop-creme/,https://vital.com.tn/wp-content/uploads/2020/09/hemostop.png,Hémorroïdes,- Hémorroïdes - Soulage la douleur de la crise hémorroïdaire - Réduit l’inflammation due à l’hémorroïde - Réduit la fréquence des crises hémorroïdaires,Crème 45 gr,Non spécifié,Autre,Crème,Autre,['Hémorroïdes'],Hémorroïdes,1,4,0,0,0,0,0,1,0,6.25
Angiplant Sirops,https://vital.com.tn/products/angiplant/,https://vital.com.tn/wp-content/uploads/2019/06/Agiplant.png,"Grippe, Immunité","- Triple action: Antiseptique, anti-inflammatoire et cicatrisante de la gorge - Apaise, adoucit et assainit la gorge",Sirop,Flacon de 150 ml,Complément alimentaire,Sirop,Complément alimentaire,"['Grippe', 'Immunité']",Grippe,2,2,1,1,0,0,0,0,1,5.5
Pédiakids Spray Gorge,https://vital.com.tn/products/spray-gorge/,https://vital.com.tn/wp-content/uploads/2018/08/Spray-gorge.png,Maux de gorge,"- Triple action: Antiseptique, Anti-inflammatoire et cicatrisante de la gorge - Apaise adoucit et assainit la gorge",Liquide,Flacon 20 ml,Complément alimentaire,Liquide,Complément alimentaire,['Maux de gorge'],Maux de gorge,1,2,1,1,0,0,0,0,1,5.25
Planthiol Sirop,https://vital.com.tn/products/planthiol/,https://vital.com.tn/wp-content/uploads/2017/08/Planthiol-Sirop.png,"Immunité, Toux grasse",Information non disponible,Gélule,Flacon de 150 ml,Complément alimentaire,Gélule,Complément alimentaire,"['Immunité', 'Toux grasse']",Immunité,2,0,0,1,0,0,0,0,1,0.5
Uniderme peau sèche,https://vital.com.tn/products/uniderme-peau-seche/,https://vital.com.tn/wp-content/uploads/2020/09/Uniderm-peau-seche.png,Peau,"Savon nourrissant et hydratant, spécifique pour la peau sèche",Savon,Non spécifié,Savon,Savon,Savon,['Peau'],Peau,1,1,1,0,0,0,0,0,0,3.75
Omevie Cardio - 900,https://vital.com.tn/products/omevie-cardio-900/,https://vital.com.tn/wp-content/uploads/2019/06/cardio.png,"Cholestérol, Immunité, Maladies cardiovasculaires",- Renforce l’immunité - Contribue au fonctionnement normal du système cardio-vasculaire - Réduit le taux des lipides et des LDL- cholestérol,Capsule,Boite de 30 capsules,Complément alimentaire,Capsule,Complément alimentaire,"['Cholestérol', 'Immunité', 'Maladies cardiovasculaires']",Cholestérol,3,4,1,1,0,0,0,0,1,8.75
MULTIBON CALCIUM-VIT.D3,https://vital.com.tn/products/multibon-calcium-vit-d3-2/,https://vital.com.tn/wp-content/uploads/2022/07/MULTIBON-calcium-Vit.D3.png,Ossature,- Permet un apport quotidien en calcium - Améliore le développement et la croissance des os et dents,Gummies,Boite de 30 gummies,Complément alimentaire,Gummies,Complément alimentaire,['Ossature'],Ossature,1,2,1,1,0,0,0,0,0,5.25
Amincissant Actif,https://vital.com.tn/products/amincissant-actif/,https://vital.com.tn/wp-content/uploads/2017/05/Amincissant-Actif.png,"Elimination des graisses, Ventre plat",Information non disponible,Gélule,Boite de 30 gélules,Complément alimentaire,Gélule,Complément alimentaire,"['Elimination des graisses', 'Ventre plat']",Elimination des graisses,2,0,0,1,0,0,0,0,1,0.5
Pédiakids Apigorge,https://vital.com.tn/products/pediakids-apigorge/,https://vital.com.tn/wp-content/uploads/2020/09/Apigorge.png,Maux de gorge,"- Triple action: Antiseptique, anti-inflammatoire et cicatrisante de la gorge - Traitement d’appoint de l’inflammation aigue de la gorge",Sirop,Flacon de 150 ml,Complément alimentaire,Sirop,Complément alimentaire,['Maux de gorge'],Maux de gorge,1,2,1,1,0,0,0,0,1,5.25
Levure de bière,https://vital.com.tn/products/levure-de-biere/,https://vital.com.tn/wp-content/uploads/2017/08/levure-de-biere.png,"Cheveux, Angle, Peau",Information non disponible,Gélule,Boite de 60 gélules / 180 gélules,Complément alimentaire,Gélule,Complément alimentaire,"['Cheveux', 'Angle', 'Peau']",Cheveux,3,0,0,1,0,0,0,0,1,0.75
Uniderme peau sensible,https://vital.com.tn/products/uniderme-peau-sensible-2/,https://vital.com.tn/wp-content/uploads/2020/09/Uniderme-peau-sensible.png,Peau,"Savon unifiant et apaisant, spécifique pour la peau sensible",Savon,Non spécifié,Savon,Savon,Savon,['Peau'],Peau,1,1,1,0,0,0,0,0,0,3.75
Coenzyme Q10,https://vital.com.tn/products/coenzyme-q10/,https://vital.com.tn/wp-content/uploads/2019/05/Q10-1.png,"Brûle graisses, Cholestérol",Information non disponible,Gélule,Boite de 30 gélules,Complément alimentaire,Gélule,Complément alimentaire,"['Brûle graisses', 'Cholestérol']",Brûle graisses,2,0,0,1,0,0,0,0,1,0.5
Pédiakids Pommade change INTENSIVE,https://vital.com.tn/products/pediakids-pommade-change-intensive/,https://vital.com.tn/wp-content/uploads/2022/08/Pommade-change-intensive.png,"Erythèmes, soin bébé",Information non disponible,Crème,Tube de 40 gr,Crème pour la peau,Crème,Crème Pour La Peau,"['Erythèmes', 'soin bébé']",Erythèmes,2,0,0,0,0,0,0,1,0,0.5
LV Sesa,https://vital.com.tn/products/sesa-2/,https://vital.com.tn/wp-content/uploads/2020/09/Sesa.png,Cicatrices,"- Favorise la cicatrisation et la réparation dermique - Brûlures de premier degré & second degré superficielles et profondes - Plaies chroniques (escarres de lit, pied de diabétique), - ulcères des jambes, plaies chirurgicales y compris obstétriques",Pommade,Non spécifié,complément alimentaire,Pommade,Complément alimentaire,['Cicatrices'],Cicatrices,1,4,1,1,0,0,0,1,0,8.25
Vitonic sénior,https://vital.com.tn/products/vitonic-senior-3/,https://vital.com.tn/wp-content/uploads/2017/08/VITONIC-senior-1.png,"Concentration, Mémoire",Information non disponible,Gélule / Goutte,Boite contenant de 30 gélules / un flacon en PET de 60 ml+ une pipette.,Complément alimentaire,Gélule,Complément alimentaire,"['Concentration', 'Mémoire']",Concentration,2,0,0,1,0,0,0,0,1,0.5
Planthérapie Planthiol Sans sucre,https://vital.com.tn/products/plantherapie-planthiol-sans-sucre-2/,https://vital.com.tn/wp-content/uploads/2023/10/Plantherapie-Planthiol-Sans-sucre-1.jpg,"Confort respiratoire, Toux grasse",• Dégage les voies respiratoires • Toux grasse,Sirop,150 ML,Complément alimentaire,Sirop,Complément alimentaire,"['Confort respiratoire', 'Toux grasse']",Confort respiratoire,2,1,1,1,0,0,0,0,1,4.0
Minciligne Postnatale,https://vital.com.tn/products/minciligne-postnatale/,https://vital.com.tn/wp-content/uploads/2018/08/minciligne-postnatale.png,"Brûle graisses, Cellulite, Drainage",Drainage Obésité Adjuvant de régime,Solution buvable,Flacon de 275 ml,Complément alimentaire,Solution,Complément alimentaire,"['Brûle graisses', 'Cellulite', 'Drainage']",Brûle graisses,3,1,1,1,0,0,0,0,1,4.25
Vitonic Zinc Vit.D3,https://vital.com.tn/products/vitonic-zinc-vit-d3/,https://vital.com.tn/wp-content/uploads/2021/12/Vitonic-Zin.png,Immunité,- Aide à renforcer le système immunitaire - Participe à la régulation de l’immunité - Le maintien et le développement des cellules dans le système immunitaire - Bon fonctionnement du système immunitaire et système redox,Gélule,Boite de 30 gélules,complément alimentaire,Gélule,Complément alimentaire,['Immunité'],Immunité,1,4,1,1,0,0,0,0,1,8.25
Pédiakids Huile de massage sommeil,https://vital.com.tn/products/huile-de-massage-sommeil/,https://vital.com.tn/wp-content/uploads/2021/08/huile.png,soin bébé,Nourrit et hydrate la peau du bébé et nourrisson sans la graisser Apaise le bébé et calme ses agitations,Forme non spécifiée,Non spécifié,Autre,Forme non spécifiée,Autre,['soin bébé'],soin bébé,1,1,0,0,0,0,0,0,0,1.75
HYDRA GEL - CRÈME Nettoyant visage,https://vital.com.tn/products/hydra-gel-creme-nettoyant-visage-2/,https://vital.com.tn/wp-content/uploads/2023/10/HYDRA-GEL-CREME-Nettoyant-visage-1-1.jpg,"Hydrate, nettoie, Peau",• Nettoie • Hydrate • Apaise,Gel Crème,250 ML,Nettoyant visage,Crème,Nettoyant Visage,"['Hydrate', 'nettoie', 'Peau']",Hydrate,3,1,1,0,0,0,0,1,0,4.25
Minciligne Jeune & Ado,https://vital.com.tn/products/minciligne-jeune-ado-2/,https://vital.com.tn/wp-content/uploads/2021/12/Minciligne-jeune-ado.png,"Brûle graisses, Drainage",- Draineur - Adjuvant de régime amincissant,Solution buvable,275ml,Complément alimentaire,Solution,Complément alimentaire,"['Brûle graisses', 'Drainage']",Brûle graisses,2,2,1,1,0,0,0,0,1,5.5
Omevie Grossesse - 1000,https://vital.com.tn/products/omevie-grossesse-1000/,https://vital.com.tn/wp-content/uploads/2019/06/grosesse.png,Grossesse,Favorise le développement et la croissance du Fœtus Assure le bon fonctionnement du système immunitaire Assure le bon fonctionnement cognitif et l’apprentissage au début de la vie,Capsule,Boite de 30 capsules,Complément alimentaire,Capsule,Complément alimentaire,['Grossesse'],Grossesse,1,1,1,1,0,0,0,0,1,3.75
Vinaigre de cidre,https://vital.com.tn/products/vinaigre-de-cidre-4/,https://vital.com.tn/wp-content/uploads/2017/08/vinaigre-de-cidre-1.png,"Cholestérol, Brûle graisses",Information non disponible,Liquide,Flacon de 250ml,Complément alimentaire,Liquide,Complément alimentaire,"['Cholestérol', 'Brûle graisses']",Cholestérol,2,0,0,1,0,0,0,0,1,0.5
Pédiakids Oméga 3,https://vital.com.tn/products/pediakids-omega-3/,https://vital.com.tn/wp-content/uploads/2017/08/Pediakids-omega-3.png,"Concentration, Développement cérébral",Information non disponible,Sirop,Flacon de 90 ml,Complément alimentaire,Sirop,Complément alimentaire,"['Concentration', 'Développement cérébral']",Concentration,2,0,0,1,0,0,0,0,1,0.5
Pédiakids Apinez,https://vital.com.tn/products/apinez-2/,https://vital.com.tn/wp-content/uploads/2020/09/Apinez.png,"Rhume, Nez bouché",- Dégage les voies respiratoires - Soulage les symptômes du rhume et la sensation de nez bouché,Sirop,Non spécifié,Autre,Sirop,Autre,"['Rhume', 'Nez bouché']",Rhume,2,2,0,0,0,0,0,0,1,3.5
ARGIDERM,https://vital.com.tn/products/argiderm-3/,https://vital.com.tn/wp-content/uploads/2017/05/Argiderm-1.png,Antiseptique,Information non disponible,Savon,Savon de 90 gr,Savon dermatologique,Savon,Savon Dermatologique,['Antiseptique'],Antiseptique,1,0,0,0,0,0,0,0,0,0.25
LV Crème Dalibour,https://vital.com.tn/products/creme-dalibour/,https://vital.com.tn/wp-content/uploads/2017/08/Dalibour-creme-packaging.png,"Cicatrices, Peau",Information non disponible,Crème pour usage externe,Tube de 40 gr,Crème pour usage externe,Crème,Crème Pour Usage Externe,"['Cicatrices', 'Peau']",Cicatrices,2,0,0,0,0,0,0,1,0,0.5
Pédiakids Sommeil Calme,https://vital.com.tn/products/pediakids-sommeil-calme/,https://vital.com.tn/wp-content/uploads/2017/08/Sommeil-calme.png,Troubles de sommeil,Information non disponible,Sirop,Flacon de 150 ml,Complément alimentaire,Sirop,Complément alimentaire,['Troubles de sommeil'],Troubles de sommeil,1,0,0,1,0,0,0,0,1,0.25
PHYTOFANE Shampooing Antipelliculaire,https://vital.com.tn/products/phytofane-shampooing-antipelliculaire-2/,https://vital.com.tn/wp-content/uploads/2024/07/Phytofane-Shampooing-Antipelliculaire.jpg,"Antipelliculaire, Cheveux",Élimine efficacement et durablement les pellicules,Shampooing,200ML,Soin Capillaire,Shampooing,Soin Capillaire,"['Antipelliculaire', 'Cheveux']",Antipelliculaire,2,1,1,0,0,0,1,0,0,4.0
Minciligne Brûle Graisse,https://vital.com.tn/products/minciligne-brule-graisse-2/,https://vital.com.tn/wp-content/uploads/2018/08/minici-ligne-brule-graisse.png,"Brûle graisses, Détox",- Perte de poids - Stimule la thermogenèse - Élimine et déstocke les graisses,Gélule,Boite de 20 Gélules,Complément alimentaire,Gélule,Complément alimentaire,"['Brûle graisses', 'Détox']",Brûle graisses,2,3,1,1,0,0,0,0,1,7.0
LV PhytoVeine Gel,https://vital.com.tn/products/lv-phytoveine-gel/,https://vital.com.tn/wp-content/uploads/2021/06/phytpveine-gel.png,"Varices, Jambes lourdes",- Soulage les douleurs des jambes lourdes - Stimule la circulation sanguine,Gel,Tube de 90 gr,Gel pour massage,Gel,Gel Pour Massage,"['Varices', 'Jambes lourdes']",Varices,2,2,1,0,0,0,0,1,0,5.5
LV GINKO Extra,https://vital.com.tn/products/lv-ginko-extra-2/,https://vital.com.tn/wp-content/uploads/2023/10/LV-GINKO-Extra-70ml.jpg,"Concentration, Mémoire",• Améliore la mémoire et la concentration chez les adultes • Traite la claudication intermittente • Traite les acouphènes,Gouttes,70 ML,Complément alimentaire,Gouttes,Complément alimentaire,"['Concentration', 'Mémoire']",Concentration,2,1,1,1,0,0,0,0,1,4.0
Mincivit Detox,https://vital.com.tn/products/mincivit-detox/,https://vital.com.tn/wp-content/uploads/2020/09/Detox.png,Détox,- Favorise le drainage des toxines - Stimule les fonctions dépuratives rénales - Adjuvant du régime amincissant,Flacon (250 ml),Non spécifié,Complément alimentaire,Flacon (250 Ml),Complément alimentaire,['Détox'],Détox,1,3,1,1,0,0,0,0,0,6.75
Pédiakids Savon extra doux,https://vital.com.tn/products/savon-extra-doux-3/,https://vital.com.tn/wp-content/uploads/2018/08/Savon-extra-doux.png,Peau,- Nettoie et hydrate la peau de bébé,Savon,Savon de 100 g,Savon,Savon,Savon,['Peau'],Peau,1,1,1,0,0,0,0,0,0,3.75
Magnésium,https://vital.com.tn/products/magnesium/,https://vital.com.tn/wp-content/uploads/2019/05/Magnesium-2.png,"Fatigue, Stress",Information non disponible,Gélule,Boite de 60 gélules,Complément alimentaire,Gélule,Complément alimentaire,"['Fatigue', 'Stress']",Fatigue,2,0,0,1,0,0,0,0,1,0.5
Vitonic Fer Grossesse,https://vital.com.tn/products/vitonic-fer-grossesse/,https://vital.com.tn/wp-content/uploads/2018/08/VITONIC-fer-grossesse.png,Grossesse,- Palier les carences en fer - Apport en vitamines et oligo-éléments - Réduit les nausées matinales au cours de la grossesse,Gélule,Boite de 30 gélules,Complément alimentaire,Gélule,Complément alimentaire,['Grossesse'],Grossesse,1,3,1,1,0,0,0,0,1,6.75
Vitonic Examens,https://vital.com.tn/products/vitonic-examens-2/,https://vital.com.tn/wp-content/uploads/2017/08/VITONIC-examens.png,"Concentration, Fatigue intellectuelle",Information non disponible,Gélule,Boite de 45 gélules,Complément alimentaire,Gélule,Complément alimentaire,"['Concentration', 'Fatigue intellectuelle']",Concentration,2,0,0,1,0,0,0,0,1,0.5
PHYTOFANE Lotion Antipelliculaire,https://vital.com.tn/products/phytofane-lotion-antipelliculaire-2/,https://vital.com.tn/wp-content/uploads/2023/10/PHYTOFANE-Lotion-Antipelliculaire.jpg,"Antipelliculaire, Cheveux",• Elimine efficacement et durablement les pellicules,Lotion,200 ML,Lotion antipelliculaire,Lotion,Lotion Antipelliculaire,"['Antipelliculaire', 'Cheveux']",Antipelliculaire,2,1,1,0,0,0,0,1,0,4.0
Pédiakids COLIGAZ,https://vital.com.tn/products/pediakids-coligaz/,https://vital.com.tn/wp-content/uploads/2017/08/Coligaz.png,Ballonnement et gaz,Information non disponible,Goutte,Flacon de 35 ml,Complément alimentaire,Gouttes,Complément alimentaire,['Ballonnement et gaz'],Ballonnement et gaz,1,0,0,1,0,0,0,0,1,0.25
Vitonic Grossesse,https://vital.com.tn/products/vitonic-grossesse-2/,https://vital.com.tn/wp-content/uploads/2017/08/VITONIC-grossesse.png,Grossesse,Information non disponible,Gélule,Boite de 30 gélules,Complément alimentaire,Gélule,Complément alimentaire,['Grossesse'],Grossesse,1,0,0,1,0,0,0,0,1,0.25
Allergiplant,https://vital.com.tn/products/allergiplant/,https://vital.com.tn/wp-content/uploads/2021/08/Echizinc-–-1.png,"Allergie, Immunité",Equilibre la réponse du système immunitaire de l’organisme,Forme non spécifiée,Non spécifié,Autre,Forme non spécifiée,Autre,"['Allergie', 'Immunité']",Allergie,2,1,0,0,0,0,0,0,0,2.0
HYDRAFINE,https://vital.com.tn/products/hydrafine/,https://vital.com.tn/wp-content/uploads/2021/08/1.png,Peau,- Permet d’atténuer les brûlures superficielles du premier degré - Favorise la cicatrisation rapide avec une bonne hydratation de la peau - Apaise les piqûres et les rougeurs,Forme non spécifiée,Non spécifié,Autre,Forme non spécifiée,Autre,['Peau'],Peau,1,3,0,0,0,0,0,0,0,4.75
LV Cysprotect,https://vital.com.tn/products/cysprorect/,https://vital.com.tn/wp-content/uploads/2017/08/Cysprotect.png,"Cystites, Infection urinaire",Information non disponible,Gélule,Boite de 30 gélules,Complément alimentaire,Gélule,Complément alimentaire,"['Cystites', 'Infection urinaire']",Cystites,2,0,0,1,0,0,0,0,1,0.5
Plantyl capsule,https://vital.com.tn/products/plantyl-3/,https://vital.com.tn/wp-content/uploads/2019/06/Plantyl-1.png,"Grippe, Immunité",- Renforce l’immunité et améliore le confort des voies respiratoires supérieures,Capsule,Boite de 15 capsules,Complément alimentaire,Capsule,Complément alimentaire,"['Grippe', 'Immunité']",Grippe,2,1,1,1,0,0,0,0,1,4.0
